Feature,Importance
QQQ_Gap_Pct,490
SPY_Gap_Pct,393
ATR_Pct,311
QQQ_RSI_14,282
Vol_Ratio,215
SPY_Dist_MA20,192
Gap_Pct,185
SPY_RSI_14,153
QQQ_Dist_MA20,135
Dist_MA20,118
RSI_14,63
