Date,Ticker,Sector,Open,Close,Prob
2024-01-18,ABAT,Industrials,2.880000114440918,2.9700000286102295,0.5440722302259625
2024-01-24,ABAT,Industrials,2.8299999237060547,2.7100000381469727,0.8019599605198111
2024-02-01,ABAT,Industrials,2.799999952316284,2.5399999618530273,0.6936243694951633
2024-02-07,ABAT,Industrials,2.740000009536743,2.4800000190734863,0.7333257226621882
2024-02-08,ABAT,Industrials,2.509999990463257,2.359999895095825,0.6645147486305479
2024-02-09,ABAT,Industrials,2.4200000762939453,2.369999885559082,0.7372906362324926
2024-03-04,ABAT,Industrials,2.490000009536743,2.490000009536743,0.5077791067153185
2024-03-11,ABAT,Industrials,2.0799999237060547,2.009999990463257,0.6085655254066543
2024-03-12,ABAT,Industrials,2.049999952316284,1.9600000381469727,0.5881695063850655
2024-03-21,ABAT,Industrials,2.130000114440918,1.9800000190734863,0.8478679581536772
2024-03-25,ABAT,Industrials,1.9199999570846558,1.7200000286102295,0.5678418646138996
2024-03-26,ABAT,Industrials,1.7699999809265137,1.7050000429153442,0.5179681613490634
2024-03-27,ABAT,Industrials,1.7400000095367432,1.600000023841858,0.5408448325816216
2024-04-01,ABAT,Industrials,1.8250000476837158,1.75,0.5075597199173169
2024-04-03,ABAT,Industrials,1.7200000286102295,1.75,0.526103567185069
2024-04-04,ABAT,Industrials,1.7999999523162842,1.7200000286102295,0.7045547733717794
2024-04-05,ABAT,Industrials,1.7999999523162842,1.7599999904632568,0.6389668729552562
2024-04-11,ABAT,Industrials,1.8300000429153442,1.7699999809265137,0.5985952488379638
2024-04-15,ABAT,Industrials,1.7599999904632568,1.6100000143051147,0.5602562482834972
2024-04-16,ABAT,Industrials,1.6200000047683716,1.5,0.5807792387067082
2024-04-17,ABAT,Industrials,1.5099999904632568,1.4299999475479126,0.6563915847210384
2024-04-18,ABAT,Industrials,1.440000057220459,1.3600000143051147,0.7353040986201508
2024-04-19,ABAT,Industrials,1.3799999952316284,1.340000033378601,0.6055412898104686
2024-04-23,ABAT,Industrials,1.350000023841858,1.2799999713897705,0.5792031246186854
2024-04-24,ABAT,Industrials,1.2899999618530273,1.3700000047683716,0.5649045994294067
2024-04-26,ABAT,Industrials,1.399999976158142,1.340000033378601,0.5023183093704581
2024-05-01,ABAT,Industrials,1.309999942779541,1.309999942779541,0.5665997669995072
2024-05-15,ABAT,Industrials,1.3300000429153442,1.309999942779541,0.5967259474341405
2024-05-16,ABAT,Industrials,1.3700000047683716,1.3300000429153442,0.6278490934921048
2024-05-21,ABAT,Industrials,1.4600000381469727,1.4199999570846558,0.5240659941462201
2024-05-22,ABAT,Industrials,1.4500000476837158,1.4600000381469727,0.5767216316400869
2024-05-28,ABAT,Industrials,1.4500000476837158,1.3899999856948853,0.526858826002816
2024-05-29,ABAT,Industrials,1.399999976158142,1.3600000143051147,0.7786459469771109
2024-05-31,ABAT,Industrials,1.3799999952316284,1.3799999952316284,0.5241968397182096
2024-06-03,ABAT,Industrials,1.399999976158142,1.399999976158142,0.5389122577155636
2024-06-12,ABAT,Industrials,1.2699999809265137,1.2100000381469727,0.7438439579309849
2024-06-13,ABAT,Industrials,1.25,1.1799999475479126,0.5373557565876849
2024-06-17,ABAT,Industrials,1.0700000524520874,1.0299999713897705,0.733341632476105
2024-06-18,ABAT,Industrials,1.0499999523162842,1.0,0.7660878409904989
2024-06-20,ABAT,Industrials,1.0499999523162842,1.0399999618530273,0.7070416360942163
2024-06-21,ABAT,Industrials,1.0499999523162842,1.0299999713897705,0.6907699172904752
2024-06-25,ABAT,Industrials,1.0499999523162842,1.0499999523162842,0.5332887878694097
2024-06-26,ABAT,Industrials,1.0800000429153442,1.1150000095367432,0.6418750756791962
2024-06-28,ABAT,Industrials,1.2699999809265137,1.25,0.8425368963508776
2024-07-05,ABAT,Industrials,1.059999942779541,1.0099999904632568,0.5642852175974854
2024-07-11,ABAT,Industrials,1.1100000143051147,1.100000023841858,0.5364219645796219
2024-07-25,ABAT,Industrials,0.9800000190734863,1.0299999713897705,0.596522706154916
2024-08-12,ABAT,Industrials,1.0299999713897705,1.0399999618530273,0.5019639538158662
2024-08-27,ABAT,Industrials,1.090000033378601,1.100000023841858,0.712774809131681
2024-08-28,ABAT,Industrials,1.1200000047683716,1.090000033378601,0.5192475045143797
2024-08-30,ABAT,Industrials,1.1100000143051147,1.1050000190734863,0.6134422258921746
2024-09-10,ABAT,Industrials,1.0299999713897705,1.0399999618530273,0.6646316114125556
2024-09-18,ABAT,Industrials,1.0099999904632568,0.9900000095367432,0.5388969454433871
2024-09-19,ABAT,Industrials,1.0,1.0099999904632568,0.7272362163464904
2024-09-20,ABAT,Industrials,1.059999942779541,1.0399999618530273,0.660708930912862
2024-09-25,ABAT,Industrials,0.875,0.8100000023841858,0.6646696366160852
2024-10-07,ABAT,Industrials,1.0399999618530273,1.059999942779541,0.5585645744232554
2024-10-10,ABAT,Industrials,1.0,1.0,0.5574082133282559
2024-10-14,ABAT,Industrials,1.0199999809265137,1.0,0.5227165892552893
2024-10-17,ABAT,Industrials,1.0499999523162842,1.0299999713897705,0.5714528415740837
2024-10-18,ABAT,Industrials,1.0499999523162842,0.9980000257492065,0.5577443589990836
2024-10-22,ABAT,Industrials,1.0199999809265137,1.0099999904632568,0.7261616949288126
2024-10-24,ABAT,Industrials,1.0099999904632568,1.0099999904632568,0.5827126452179364
2024-10-30,ABAT,Industrials,1.0099999904632568,1.0,0.5779769395327653
2024-10-31,ABAT,Industrials,1.0099999904632568,0.996999979019165,0.8029013418347781
2024-11-01,ABAT,Industrials,1.0099999904632568,0.9929999709129333,0.5854676334381242
2024-11-11,ABAT,Industrials,1.0,0.9539999961853027,0.5031395379023849
2024-11-14,ABAT,Industrials,0.9900000095367432,0.9620000123977661,0.5638571592122066
2024-11-18,ABAT,Industrials,0.8600000143051147,0.800000011920929,0.5844870174809504
2024-11-19,ABAT,Industrials,0.8199999928474426,0.800000011920929,0.5814049223000138
2024-12-03,ABAT,Industrials,0.8920000195503235,0.925000011920929,0.5720124463358872
2024-12-17,ABAT,Industrials,0.8830000162124634,0.8600000143051147,0.8267827136036257
2024-12-18,ABAT,Industrials,1.1699999570846558,0.8799999952316284,0.9023155943498081
2024-12-27,ABAT,Industrials,3.630000114440918,3.359999895095825,0.7539459222251172
2025-01-02,ABAT,Industrials,2.509999990463257,2.130000114440918,0.7354464102915923
2025-01-14,ABAT,Industrials,1.899999976158142,1.8200000524520874,0.609559563430598
2025-01-17,ABAT,Industrials,2.0799999237060547,2.0,0.5741069277686168
2025-02-07,ABAT,Industrials,1.3600000143051147,1.309999942779541,0.6523116931517351
2025-02-10,ABAT,Industrials,1.3200000524520874,1.2799999713897705,0.536004285772704
2025-02-14,ABAT,Industrials,1.3300000429153442,1.3799999952316284,0.5436584502164102
2025-02-24,ABAT,Industrials,1.0,1.0199999809265137,0.5712459866644141
2025-02-25,ABAT,Industrials,1.0399999618530273,0.9919999837875366,0.689155261999508
