Date,Ticker,Sector,Entry_BL,Entry_D,Exit,Return_BL,Return_D,Entry_Time_D
2024-01-18,ABAT,Industrials,2.880000114440918,2.8499999046325684,2.9614999294281006,-0.028298545746066342,-0.03912281702686835,15:30:00
2024-01-24,ABAT,Industrials,2.8299999237060547,2.7899999618530273,2.7100000381469727,0.04240278755977314,0.02867380817199773,15:30:00
2024-02-01,ABAT,Industrials,2.799999952316284,2.700000047683716,2.5299999713897705,0.09642856625878073,0.06296299010801333,15:30:00
2024-02-07,ABAT,Industrials,2.740000009536743,2.630000114440918,2.4800000190734863,0.0948905071380695,0.057034254311931265,15:30:00
2024-02-08,ABAT,Industrials,2.509999990463257,2.444999933242798,2.369999885559082,0.055776934436695264,0.030674866965842176,15:30:00
2024-02-09,ABAT,Industrials,2.4200000762939453,2.4649999141693115,2.369999885559082,0.020661235189477743,0.03853956670105762,15:30:00
2024-03-04,ABAT,Industrials,2.5,2.5850000381469727,2.490000009536743,0.0039999961853027345,0.03675049408445238,15:30:00
2024-03-11,ABAT,Industrials,2.059999942779541,2.0299999713897705,2.0,0.029126186624346982,0.01477831123772482,14:30:00
2024-03-12,ABAT,Industrials,2.049999952316284,2.005000114440918,1.9500000476837158,0.04878044241882981,0.027431453176020682,14:30:00
2024-03-21,ABAT,Industrials,2.130000114440918,1.9900000095367432,1.9600000381469727,0.07981223810336127,0.015075362435176206,14:30:00
2024-03-25,ABAT,Industrials,1.9199999570846558,1.815000057220459,1.7009999752044678,0.11406249311209331,0.06280996056307242,14:30:00
2024-03-26,ABAT,Industrials,1.7699999809265137,1.7299000024795532,1.7000000476837158,0.03954798530910498,0.017284209927152024,14:30:00
2024-03-27,ABAT,Industrials,1.7400000095367432,1.6200000047683716,1.5950000286102295,0.08333332191481907,0.015432084002812456,14:30:00
2024-04-01,ABAT,Industrials,1.7999999523162842,1.7599999904632568,1.7300000190734863,0.038888852831757144,0.017045438382004816,14:30:00
2024-04-03,ABAT,Industrials,1.7200000286102295,1.9299999475479126,1.7450000047683716,-0.014534869617614032,0.09585489523695874,14:30:00
2024-04-04,ABAT,Industrials,1.7300000190734863,1.7300000190734863,1.7000000476837158,0.01734102373353568,0.01734102373353568,14:30:00
2024-04-05,ABAT,Industrials,1.7999999523162842,1.7545000314712524,1.75,0.027777752022683674,0.0025648511772774934,14:30:00
2024-04-11,ABAT,Industrials,1.8300000429153442,1.7400000095367432,1.7599999904632568,0.03825139388552769,-0.011494241848790828,14:30:00
2024-04-15,ABAT,Industrials,1.7350000143051147,1.655900001525879,1.600000023841858,0.07780979213266792,0.03375806367081966,14:30:00
2024-04-16,ABAT,Industrials,1.6200000047683716,1.5099999904632568,1.4900000095367432,0.08024691040060576,0.013245020564786776,14:30:00
2024-04-17,ABAT,Industrials,1.5099999904632568,1.4600000381469727,1.4199999570846558,0.05960267148809036,0.027397315080268676,14:30:00
2024-04-18,ABAT,Industrials,1.440000057220459,1.4299999475479126,1.3550000190734863,0.0590278019231769,0.05244750435343171,14:30:00
2024-04-19,ABAT,Industrials,1.3799999952316284,1.3558000326156616,1.3350000381469727,0.03260866466677246,0.015341491347039441,14:30:00
2024-04-23,ABAT,Industrials,1.350000023841858,1.3300000429153442,1.2740000486373901,0.05629627693500736,0.04210525749698683,14:30:00
2024-04-24,ABAT,Industrials,1.2899999618530273,1.3345999717712402,1.3550000190734863,-0.05038764274619768,-0.015285514561469513,14:30:00
2024-04-26,ABAT,Industrials,1.399999976158142,1.350000023841858,1.3300000429153442,0.049999953167778305,0.014814800424667634,14:30:00
