Strategy,Total_Return_Dollar,Sharpe_Ratio,Max_Drawdown_Dollar,Win_Rate,Trade_Count,Avg_Size
Baseline,1501971.3242661143,5.959046042773835,-36009.364253595006,0.6638572136836887,10085,10000.0
VariantA,2003764.35704032,6.235631390306563,-29959.352386228973,0.6638572136836887,10085,9710.46108081309
VariantB,2224036.7007492553,4.98407588558528,-27779.63021541154,0.6638572136836887,10085,9889.077084437033
