Date,Ticker,Sector,Probability,Return,Gap_Pct,Size_Baseline,Size_VariantA,Size_VariantB,PnL_Baseline,PnL_VariantA,PnL_VariantB
2023-01-03,V,Financial Services,0.6381854840589961,0.009030960438993568,0.007316465190005838,10000.0,15000.0,11909.274202949804,90.30960438993569,135.46440658490351,107.55218418396635
2023-01-03,DDOG,Technology,0.5816977626753522,0.04129268394886789,0.02306122033774447,10000.0,10000.0,9084.888133767612,412.9268394886789,412.9268394886789,375.13941441848624
2023-01-03,SOFI,Financial Services,0.6066313651485206,0.03225808436366903,0.008676781061724965,10000.0,15000.0,10331.568257426026,322.5808436366903,483.8712654550355,333.2766004570538
2023-01-03,TMDX,Healthcare,0.6351232295029531,0.08374781112395802,0.009883353828368788,10000.0,15000.0,11756.161475147655,837.4781112395801,1256.2171668593703,984.5527907634175
2023-01-03,CELH,Consumer Defensive,0.6190792272972779,0.04785814791814481,0.014225256771582574,10000.0,15000.0,10953.961364863897,478.58147918144806,717.8722187721721,524.2363032892997
2023-01-03,ON,Technology,0.5630364678228195,0.03659108873606107,0.025332721791132815,10000.0,10000.0,8151.823391140973,365.9108873606107,365.9108873606107,298.2840930659376
2023-01-03,MRVL,Technology,0.5630364678228195,0.050646219379406825,0.023487896679215886,10000.0,10000.0,8151.823391140973,506.46219379406824,506.46219379406824,412.85903580990583
2023-01-03,WWR,Basic Materials,0.6438338732215223,-0.03749996367842013,0.012658215432456961,10000.0,15000.0,12191.693661076115,-374.9996367842013,-562.4994551763019,-457.18806946877925
2023-01-03,MP,Basic Materials,0.6653997190758524,0.02582733168938051,0.020593080142498107,10000.0,15000.0,13269.98595379262,258.2733168938051,387.40997534070766,342.72832874202237
2023-01-03,HIMS,Healthcare,0.634125480785485,0.027692281282865085,0.014040585761359437,10000.0,15000.0,11706.27403927425,276.9228128286508,415.38421924297626,324.1734334698838
2023-01-03,UBER,Technology,0.5630364678228195,0.0003941753469070091,0.025879551510060203,10000.0,10000.0,8151.823391140973,3.941753469070091,3.941753469070091,3.2132478131276647
