Metric,Baseline,Model,Diff
Win Rate,0.47479641967830943,0.5750708215297451,0.10027440185143566
Avg Return,-0.0007240887670344323,0.009440481252438404,0.010164570019472836
Total Return,-10.759234989364629,66.64979764221513,77.40903263157976
Count,14859.0,7060.0,-7799.0
