Strategy,Total Return,CAGR,Max Drawdown,Sharpe Ratio,Calmar Ratio,Avg Trigger %
Fixed 0.5% (Baseline),2.448368333673894,0.8901097358204206,-0.23640623412290132,2.5915672233928317,3.76517031846832,36.07843137254902
Fixed 1.0% (High),2.5197124916768114,0.910120828668296,-0.2528912142814647,2.493421956677922,3.5988629785111597,24.22769107643057
Dynamic ATR (k=0.2),2.5839992678587898,0.927984320928047,-0.2623153625510975,2.4336852977213335,3.5376666921186555,26.35454181672669
Dynamic ATR (k=0.3),2.375880165131098,0.8695707164917348,-0.2774114790380186,2.2454803314598273,3.134588083763333,17.448979591836736
Buy & Hold,1.832047024533205,0.7080823622048005,-0.3161240996027061,1.808435799650364,2.239887319868033,0.0
