Ticker,Events,Win Rate,Avg Return,Median Return,Avg Intraday DD,Kelly Score
UAMY,867,0.5409457900807382,0.021225396576020013,0.01851850012202395,-0.034943479441823334,0.338052351296391
ABAT,514,0.5252918287937743,0.01727950179565325,0.005653955062950104,-0.048846755502817876,0.2395141522859452
CELH,537,0.5865921787709497,0.011875091636452315,0.009070042673681038,-0.028335349257582392,0.2920621676105777
TMDX,293,0.5733788395904437,0.010865059818516633,0.005555596922810802,-0.031021569459631637,0.2795243614171721
UPST,379,0.5092348284960422,0.008020082924581185,0.0017391038977581522,-0.03946362814854632,0.14934247429610775
ONDS,349,0.49570200573065903,0.00799085198173855,0.0,-0.04487407227892501,0.14479678907966476
IREN,314,0.5031847133757962,0.007436699806214194,0.0009464140018831191,-0.0471507515440221,0.12264092511103031
FUBO,469,0.4605543710021322,0.007092127970804573,0.0,-0.03883395348609406,0.12299237987317341
OKLO,118,0.5423728813559322,0.007022969787055753,0.0071727548583148445,-0.047475411770016684,0.127053947975734
BND,11,0.6363636363636364,0.006784948603889633,0.008444200868726718,-0.012529246501899259,0.3691815699128029
LEU,554,0.5577617328519856,0.006297426761935209,0.005168505881267014,-0.032804951177202786,0.16780194151713124
CEG,119,0.5462184873949579,0.006288632927135638,0.002967775918715318,-0.020986736764441724,0.2107983754550295
EOSE,321,0.5046728971962616,0.006048345841132682,0.0018484711948041142,-0.05194881379852283,0.1069756669703742
LTBR,529,0.504725897920605,0.005599089352482275,0.0021597736063739222,-0.03940824591610546,0.11458010845566918
PLTR,306,0.5555555555555556,0.005585590850244855,0.0055378252765825664,-0.027353125895912798,0.16571563460769878
BROS,180,0.5666666666666667,0.00495804388357507,0.0046160945681174275,-0.02779219394427455,0.16817056220271237
SPOT,331,0.5770392749244713,0.004904930520277235,0.006011653500217272,-0.02100506630864415,0.20555750786788096
WWR,637,0.45839874411302983,0.004714943394540875,0.0,-0.03719833141142676,0.09903454447709076
SOUN,251,0.4302788844621514,0.004454461684078877,-0.005653705007969752,-0.0490703847428566,0.06941849598463834
SHOP,465,0.5333333333333333,0.004411751372662335,0.002973939343124035,-0.026369611154890005,0.14274613628301802
NET,352,0.5397727272727273,0.004307090884722404,0.003227060360780624,-0.02999572630493339,0.1304536906411382
HIMS,317,0.5299684542586751,0.004024817558491346,0.0035906607379059077,-0.03387397703703812,0.10851078271415471
SMR,188,0.5053191489361702,0.003953839413679038,0.0005237202216711735,-0.04432603231647336,0.0774383142804993
QBTS,208,0.46634615384615385,0.003944485780732593,-0.004125568286058976,-0.04905401030496565,0.06945382971132624
CRWD,330,0.5242424242424243,0.003739548990591064,0.0021911140901662417,-0.025003553092689874,0.13183325572622734
VST,172,0.5348837209302325,0.0036472498879023146,0.0032044220453326163,-0.025322760385358658,0.12139641793077377
HOOD,286,0.5314685314685315,0.0034844081743965805,0.0032582530827436227,-0.02959982484811993,0.10917371212827887
MCD,106,0.5754716981132075,0.003071054026494272,0.0019413409326451215,-0.012576749766087789,0.20644979230576904
FI,177,0.5932203389830508,0.0028434536314107255,0.003510203107771018,-0.01488273081104124,0.17925326391911073
DUOL,208,0.5528846153846154,0.0027785023380512354,0.0036401350286782664,-0.02853587298052874,0.09672872556430417
TTD,419,0.5346062052505967,0.0027329271741267976,0.0027414807210798284,-0.027204919725021853,0.0915587290787323
SNOW,309,0.517799352750809,0.002680843521020504,0.0021254545465958516,-0.02495634471624982,0.09487723517262348
UBER,288,0.5173611111111112,0.0026726011737095994,0.0017475559982851317,-0.022535008956268265,0.10475681854673613
IONQ,297,0.4983164983164983,0.00254916542528155,0.0,-0.03787990998753006,0.05808552312932075
DDOG,314,0.5286624203821656,0.0024216308807206727,0.0023764306693791542,-0.025966932839051705,0.09270784533262805
PANW,321,0.5295950155763239,0.0024014262961936676,0.0019108521986016523,-0.018715902956128332,0.11919041202000596
V,195,0.5641025641025641,0.0021653373460604926,0.002610143306113263,-0.01326048592032257,0.1551719251475372
AMZN,290,0.5137931034482759,0.0021217604649719935,0.0012469232775584884,-0.01577965058021408,0.11764350729057677
DOCN,278,0.5,0.0020165622699560275,-1.3029974198054244e-05,-0.028299478694245598,0.0635737323280679
IBM,140,0.5,0.0019159592716216074,7.691234914002754e-05,-0.014146949071902504,0.1162809042680436
UUUU,430,0.48372093023255813,0.0017925390321941194,-0.000708197742615052,-0.03145677930381682,0.050741593836632015
GOOG,272,0.5477941176470589,0.001779418807172675,0.0020777323437041377,-0.012432249340648684,0.12362284763784953
OSCR,265,0.49433962264150944,0.0017699059833791427,0.0,-0.03266699071229121,0.04872130853725376
GLW,251,0.5139442231075697,0.0016065407458535957,0.0005405958950807254,-0.015243058383814932,0.09991908019910023
TSLA,558,0.5304659498207885,0.001532822741371459,0.0019395735426755213,-0.023926881020475303,0.06088794054060942
GRAB,244,0.5655737704918032,0.0015244554240857393,0.005324004826222618,-0.03113045180249431,0.05313464893914843
KTOS,304,0.5,0.0014473423500384393,0.0002729320155136577,-0.02700840123742294,0.05739356746303387
POWI,401,0.5386533665835411,0.0012867163156372943,0.0026177610503639133,-0.018280119555994682,0.06946740907901278
MGK,178,0.5280898876404494,0.0012535233284820834,0.0008551168530371326,-0.010828867351607091,0.09638592483613212
ANET,353,0.5410764872521246,0.001251419866219507,0.0019655719728961917,-0.020291191130769572,0.06320230022163265
CIFR,346,0.4797687861271676,0.0012222383713954557,-0.002318909309648464,-0.05033428951516068,0.02317764707930986
SOFI,299,0.5050167224080268,0.0011617629066288512,0.0013201622618662582,-0.030049664175469153,0.03940163862101215
MRVL,504,0.5079365079365079,0.0011348904294072209,0.0006457708026842111,-0.020129597067779188,0.048961451886015084
UNH,167,0.5209580838323353,0.0010633799607225685,0.0022512852695686664,-0.01659708293834039,0.06690937010360726
VOO,132,0.5378787878787878,0.0010325319117123945,0.0014409816874140142,-0.010593685569521349,0.09289818513629916
NVDA,477,0.5073375262054507,0.0010051654042212178,0.00034897626004772215,-0.021079285096829242,0.045457868096147436
NLR,197,0.48223350253807107,0.0008602305058967415,0.0,-0.008356713413376026,0.07862032459701479
MP,313,0.4952076677316294,0.0008461645998374135,-0.0010256645007011218,-0.029460166484327113,0.02977964830201224
NVO,515,0.5145631067961165,0.0008299728131991898,0.0004252733046147641,-0.009248230247756992,0.08296466937308217
CCJ,353,0.5014164305949008,0.0007662791999570196,0.00021083761635773017,-0.02274889203311666,0.03490018201931033
LUMN,320,0.48125,0.0007509306105299606,0.0,-0.03151544829028896,0.02326133329907204
APP,261,0.5172413793103449,0.0007431944137857451,0.0015632505712354938,-0.031731417587765515,0.023696487414737233
BE,463,0.49676025917926564,0.0006504081085941947,0.0,-0.038692325373549684,0.01720304353248181
ABNB,245,0.5142857142857142,0.0005391024426188513,0.0004368631776521061,-0.021600494371134996,0.02656043854877721
STX,353,0.5212464589235127,0.00048442782560889023,0.0013058426531476737,-0.0206289085922383,0.02500278042101589
RXRX,289,0.48788927335640137,0.0004430830196315675,-0.001492500347664117,-0.039357018329093545,0.011046185030366473
BRK-B,104,0.5480769230769231,0.00034988748685423055,0.000529311399023096,-0.012515287774468108,0.02883057901888686
MU,558,0.521505376344086,0.00032205858553060286,0.0010426749477975335,-0.020343339644537564,0.01645351201163403
AMD,538,0.5055762081784386,0.00026645865758689923,0.000574908911994189,-0.023620238943019112,0.011052555761511484
TSM,430,0.47674418604651164,0.0001897867735607371,-0.00035731806579293894,-0.012465369427377348,0.014555539378906579
U,351,0.5042735042735043,0.00018175679397626238,0.0010218523758165191,-0.03146788676321004,0.005442730952113117
ORCL,239,0.5062761506276151,0.00010707190553769847,0.0006703637831703084,-0.015378256955366881,0.0068719655458087114
MSFT,228,0.49122807017543857,6.040457177613754e-05,-0.0004485813614574811,-0.013651841668777726,0.0046094561110562315
ADBE,285,0.5017543859649123,-7.317451056234837e-05,5.5761606213066965e-05,-0.01713977295805516,-0.004612845675562083
ON,532,0.4642857142857143,-0.0003049311747739598,-0.0016830158829510278,-0.020559789548242675,-0.013607857742632512
LRCX,480,0.4979166666666667,-0.00043653152128162777,-4.724228307578596e-05,-0.018259224240689393,-0.02356988601086929
ACHR,247,0.4291497975708502,-0.0006972209755660006,-0.005016757477033872,-0.03607989315700067,-0.017292735367613832
GLD,164,0.45121951219512196,-0.0007445561682211694,-0.0007545908730391274,-0.005975166079291765,-0.14491686345298777
OPEN,400,0.47,-0.0009368584417348688,-0.0034762209174140765,-0.04331173782651139,-0.021391869060843616
QCOM,365,0.5397260273972603,-0.001248708790309755,0.0013533283893327251,-0.016444930475641866,-0.08612483948248395
SIVR,385,0.4597402597402597,-0.0012977792156543407,-0.0007353109265689029,-0.011275932530133663,-0.148579877947358
NVTS,261,0.4329501915708812,-0.0024754642645637664,-0.006125641256504573,-0.03811499499592168,-0.05943770647534796
REMX,491,0.37067209775967414,-0.004755901459185372,-0.003762949335797639,-0.015885183927154,-0.4602566703449219
