Scenario,Total Trades,Avg Trades/Ticker,Fill Rate,Win Rate,Avg Ret,Total Return
MOO (Baseline),21208,255.51807228915663,1.0,0.499245567710298,-0.000292176167633833,-6.1964721631783295
Limit +0.3%,18212,219.42168674698794,0.8587325537533006,0.5032396222271031,-0.0010150492003883928,-18.486076037473413
Limit +0.5%,16888,203.46987951807228,0.7963032817804602,0.5051515869256277,-0.0010585281693765332,-17.876423724430893
Limit +1.0%,13790,166.14457831325302,0.6502263296869106,0.5107324147933285,-0.0010718516694882883,-14.780834522243497
Limit +0.1 ATR,17122,206.289156626506,0.8073368540173519,0.5033874547365962,-0.0009034411572630846,-15.468719494658531
Limit +0.2 ATR,14425,173.79518072289156,0.6801678611844587,0.5023223570190641,-0.0010235201591600083,-14.764278295883118
Limit +0.3 ATR,12021,144.83132530120483,0.5668144096567334,0.5049496714083687,-0.0011496475404951232,-13.819913084291874
