Pool,Ticker,Type,Trade_Count,Win_Count,Total_Return,Avg_Return,Return_Std,Win_Rate
Final,ABAT,Holiday,33,20,-0.15154391499576939,-0.004592239848356648,0.07429778064671912,0.6060606060606061
Final,ABAT,Normal,542,353,4.977517484141897,0.009183611594357743,0.10326538732258551,0.6512915129151291
Final,ABAT,TOTM,139,82,1.6885823363624706,0.012148074362319933,0.08175066689588673,0.5899280575539568
Final,ABNB,Holiday,19,8,0.04158497569071796,0.0021886829310904187,0.02647253865155717,0.42105263157894735
Final,ABNB,Normal,311,153,-0.038864097204778625,-0.00012496494278063866,0.026503528377561064,0.4919614147909968
Final,ABNB,TOTM,52,26,0.07265866269959287,0.0013972819749921706,0.031082501654329298,0.5
Final,ADBE,Holiday,16,8,-0.03208598166008505,-0.0020053738537553155,0.022235152330236655,0.5
Final,ADBE,Normal,351,175,0.4535102727987529,0.0012920520592557062,0.01963971525263971,0.4985754985754986
Final,ADBE,TOTM,70,30,-0.07440443382912393,-0.001062920483273199,0.016495046930644092,0.42857142857142855
Final,AMD,Holiday,23,7,-0.1884149163330659,-0.008191952884046344,0.024939839334062387,0.30434782608695654
Final,AMD,Normal,456,230,0.0943594376280032,0.0002069285912894807,0.0297774516848847,0.5043859649122807
Final,AMD,TOTM,91,40,0.12832012032579798,0.0014101112123714064,0.029463872800742464,0.43956043956043955
Final,AMZN,Holiday,15,5,-0.09368364362938046,-0.006245576241958697,0.018128768404772514,0.3333333333333333
Final,AMZN,Normal,358,188,0.4000216825862643,0.0011173790016376097,0.018095434783130356,0.5251396648044693
Final,AMZN,TOTM,85,41,0.05957016443463037,0.0007008254639368278,0.020613243738280794,0.4823529411764706
Final,APP,Holiday,11,3,-0.181922857279005,-0.016538441570818636,0.07205088819821817,0.2727272727272727
Final,APP,Normal,343,172,-0.0806839963382423,-0.00023523031002403003,0.03794647068868294,0.5014577259475219
Final,APP,TOTM,66,33,-0.04913987173241857,-0.0007445435110972511,0.029362048074846867,0.5
Final,BND,Holiday,1,0,-0.008321527858857281,-0.008321527858857281,,0.0
Final,BND,Normal,35,19,0.012275683599535838,0.00035073381712959537,0.0061858739621927904,0.5428571428571428
Final,BND,TOTM,13,9,0.02056569637949063,0.0015819766445762024,0.0027656795834837588,0.6923076923076923
Final,CEG,Holiday,10,5,-0.06431455085616472,-0.006431455085616472,0.022536438309209195,0.5
Final,CEG,Normal,241,138,-0.0864953901797794,-0.0003589020339409934,0.029426673515787975,0.5726141078838174
Final,CEG,TOTM,48,21,-0.21017478562022987,-0.004378641367088122,0.025655526361790353,0.4375
Final,CELH,Holiday,29,14,-0.06323658320166528,-0.0021805718345401823,0.03296452572642035,0.4827586206896552
Final,CELH,Normal,429,219,-0.1844503410002668,-0.00042995417482579677,0.04057995304049708,0.5104895104895105
Final,CELH,TOTM,95,52,0.04624300140964765,0.00048676843589102786,0.03369384466855855,0.5473684210526316
Final,CRWD,Holiday,20,11,0.020050539611330253,0.0010025269805665126,0.028329591442661173,0.55
Final,CRWD,Normal,428,204,0.3666496068643857,0.000856657959963518,0.026876618925915252,0.4766355140186916
Final,CRWD,TOTM,96,42,0.0888991692140931,0.0009260330126468031,0.030275421613914184,0.4375
Final,DDOG,Holiday,21,12,-0.08586778785559791,-0.004088942278837996,0.030716356948406773,0.5714285714285714
Final,DDOG,Normal,448,237,0.001303648924721762,2.9099306355396474e-06,0.03010182707535086,0.5290178571428571
Final,DDOG,TOTM,88,43,0.14276739595541202,0.0016223567722205912,0.029122102164660678,0.48863636363636365
Final,DUOL,Holiday,15,6,-0.2180484153224752,-0.014536561021498346,0.039913924999590775,0.4
Final,DUOL,Normal,273,141,0.5644125878246938,0.00206744537664723,0.0360661287079411,0.5164835164835165
Final,DUOL,TOTM,58,21,-0.4708598079121798,-0.008118272550209997,0.037931000465811604,0.3620689655172414
Final,EOSE,Holiday,27,15,-0.22332603458488173,-0.00827133461425488,0.08033471719117381,0.5555555555555556
Final,EOSE,Normal,416,239,1.2205542516394767,0.0029340246433641267,0.0680336894216821,0.5745192307692307
Final,EOSE,TOTM,99,53,0.37377547627985497,0.0037755098614126762,0.06709722945432914,0.5353535353535354
Final,GOOG,Holiday,15,7,-0.026633867481278925,-0.001775591165418595,0.015813597120852323,0.4666666666666667
Final,GOOG,Normal,328,157,0.022894570225528793,6.980051898027071e-05,0.01669044984047852,0.47865853658536583
Final,GOOG,TOTM,64,30,-0.03095351647121336,-0.00048364869486270876,0.017611371577195417,0.46875
Final,GRAB,Holiday,20,10,0.06570550004424805,0.0032852750022124024,0.02417093605476572,0.5
Final,GRAB,Normal,384,220,1.0492895782028313,0.0027325249432365397,0.03995437945152163,0.5729166666666666
Final,GRAB,TOTM,76,42,0.5682571307858092,0.007477067510339595,0.054507424396748425,0.5526315789473685
Final,HOOD,Holiday,17,8,-0.05040396448543652,-0.002964939087378619,0.04226685975857249,0.47058823529411764
Final,HOOD,Normal,309,159,-0.014066172612862207,-4.552159421638255e-05,0.039257685838988726,0.5145631067961165
Final,HOOD,TOTM,59,22,-0.8046169018759942,-0.013637574608067698,0.061392183094338505,0.3728813559322034
Final,IREN,Holiday,20,11,-0.02109990377922533,-0.0010549951889612665,0.09293218682633066,0.55
Final,IREN,Normal,367,197,0.7435248523269142,0.002025953276095134,0.06677667688185288,0.5367847411444142
Final,IREN,TOTM,78,42,0.4872288835546184,0.006246524148136133,0.06633744490123182,0.5384615384615384
Final,KTOS,Holiday,21,14,0.034937376051202014,0.0016636845738667626,0.025378833538861018,0.6666666666666666
