Ticker,Pool,Threshold,Events,Win Rate,Avg Return,Avg Intraday DD
UAMY,Asset,-0.005,892,0.5414798206278026,0.020882761839847414,-0.03525772372116259
ABAT,Asset,-0.005,657,0.4946727549467275,0.011242843545803924,-0.04801874924841224
KOSS,Toxic,-0.005,1002,0.5359281437125748,0.008394853736450736,-0.02507192871832497
CELH,Asset,-0.005,821,0.53836784409257,0.008195956938536557,-0.027481152746460603
TMDX,Asset,-0.005,451,0.5521064301552107,0.006430559011638331,-0.03004773889137916
ONDS,Asset,-0.005,448,0.4955357142857143,0.006344993635530954,-0.04448253136160104
UPST,Toxic,-0.005,478,0.48326359832635984,0.006125175319832879,-0.038999724768495225
FUBO,Asset,-0.005,633,0.4660347551342812,0.005616377181247734,-0.03757563281954702
PLTR,Asset,-0.005,441,0.5419501133786848,0.00530147907513128,-0.026431009314218393
IREN,Asset,-0.005,390,0.49743589743589745,0.00519074483834245,-0.04780420015166899
CVNA,Toxic,-0.005,731,0.5253077975376197,0.00451023794913681,-0.03799139917493393
MARA,Toxic,-0.005,1062,0.4962335216572505,0.004435833251279695,-0.04257630879928
OKLO,Asset,-0.005,187,0.5668449197860963,0.0043682473880449465,-0.03870968106507251
LEU,Asset,-0.005,833,0.5258103241296519,0.004290208719438503,-0.03183554185407451
LTBR,Asset,-0.005,722,0.48614958448753465,0.00396835955882479,-0.0381350097876114
IONQ,Asset,-0.005,389,0.5089974293059126,0.003779486358516113,-0.03617026585947301
SMR,Asset,-0.005,247,0.4979757085020243,0.003492704819069908,-0.042601749668619654
CRWD,Asset,-0.005,463,0.5485961123110151,0.003103261052289941,-0.023734592869741764
NET,Asset,-0.005,515,0.541747572815534,0.0029999334734618207,-0.02811240630581195
SHOP,Asset,-0.005,738,0.5149051490514905,0.002969969307844869,-0.02434070444545872
GME,Toxic,-0.005,760,0.48026315789473684,0.0028651757439891773,-0.03255989728391544
BZFD,Toxic,-0.005,440,0.5113636363636364,0.0028576661606104885,-0.03461088781134678
SPOT,Asset,-0.005,577,0.5320623916811091,0.0027687621753284515,-0.02032735055229031
HIMS,Asset,-0.005,460,0.5130434782608696,0.0027372702342360468,-0.0309547674460412
EOSE,Asset,-0.005,428,0.4766355140186916,0.0027005383388655243,-0.0504081584755924
REAL,Toxic,-0.005,567,0.48324514991181655,0.002554585834138979,-0.0390206190007676
BROS,Asset,-0.005,314,0.5382165605095541,0.0025110960817230654,-0.02643012362635527
PANW,Asset,-0.005,596,0.5503355704697986,0.0024791485565065527,-0.01624626068107367
RENT,Toxic,-0.005,357,0.46218487394957986,0.0022351659306735707,-0.04732695689654678
SNOW,Asset,-0.005,443,0.5191873589164786,0.0021478918755433573,-0.023697017970505017
SOUN,Asset,-0.005,316,0.4208860759493671,0.0021205735816341273,-0.049204303043062406
ABNB,Asset,-0.005,389,0.5372750642673522,0.002070918092511222,-0.019051301232827222
UBER,Asset,-0.005,471,0.5286624203821656,0.001966966527849951,-0.021041452211525206
DDOG,Asset,-0.005,469,0.5330490405117271,0.0019522316987658631,-0.024308330556606302
DOCN,Asset,-0.005,407,0.5085995085995086,0.0018526826235429408,-0.026161771189620563
TTD,Asset,-0.005,657,0.5220700152207002,0.001836485439306523,-0.02531095589687286
CIFR,Asset,-0.005,423,0.491725768321513,0.001779162959668427,-0.04867983114333158
CEG,Asset,-0.005,219,0.5205479452054794,0.0017509755684203484,-0.02075472942269813
HOOD,Asset,-0.005,411,0.5085158150851582,0.0017315187484733762,-0.029348276361193238
RIOT,Toxic,-0.005,953,0.4910807974816369,0.0017174593493527906,-0.040610144692765984
NVDA,Asset,-0.005,756,0.5264550264550265,0.0016713273966424272,-0.018922275241821447
V,Asset,-0.005,456,0.5460526315789473,0.0016542786728429612,-0.010964671214390091
TSLA,Asset,-0.005,824,0.5315533980582524,0.0015168041427268178,-0.02196565394356158
WWR,Asset,-0.005,802,0.4376558603491272,0.0014542404797234832,-0.03735927711792144
FI,Asset,-0.005,471,0.564755838641189,0.0013216182820663268,-0.012336013439226936
BND,Asset,-0.005,56,0.42857142857142855,0.0012616168799419905,-0.0045629211187155445
