Ticker,Category,Prev Close,Curr Price,Gap %,Pre High,Fade %,Status,Score
FUBO,Standard,2.713200092315674,2.7200000286102295,0.002506242099067609,2.799999952316284,0.028571401810159033,WAIT,0
BYND,Toxic,1.1301000118255615,1.1325000524520874,0.002123741794010654,1.2100000381469727,0.06404957293519666,WAIT,0
ONDS,Standard,8.96500015258789,8.979900360107422,0.0016620420820885392,9.1899995803833,0.0228617225102328,WAIT,0
UAMY,Standard,5.570000171661377,5.578999996185303,0.0016157673692209927,6.08,0.08240131641689101,WAIT,0
NLR,Standard,131.3699951171875,131.52769470214844,0.0012004231622317022,140.0,0.060516466413225445,WAIT,0
MRVL,Standard,85.87000274658203,85.96920013427734,0.0011552041984680263,89.9588,0.044349189470320335,WAIT,0
GRAB,Standard,5.180099964141846,5.184999942779541,0.0009459235674242555,5.269999980926514,0.016129039554954396,WAIT,0
HIMS,Standard,37.7504997253418,37.784400939941406,0.0008980335319071708,38.87990188598633,0.028176535765379044,WAIT,0
PTON,Toxic,6.760000228881836,6.764999866485596,0.0007395913364616483,6.894999980926514,0.01885425885431971,WAIT,0
OPEN,Toxic,6.809999942779541,6.815000057220459,0.0007342312016051418,7.224999904632568,0.05674738447390473,WAIT,0
ACHR,Standard,8.40999984741211,8.414999961853027,0.0005945439395526962,8.819999694824219,0.045918338660357855,WAIT,0
SMR,Standard,19.15999984741211,19.17009925842285,0.0005271091383701805,21.28,0.09914947093877582,WAIT,0
QBTS,Standard,26.540000915527344,26.551000595092773,0.0004144566385072834,28.24,0.05980876079699805,WAIT,0
UPST,Toxic,49.43000030517578,49.45000076293945,0.0004046218418003457,50.47999954223633,0.020404096446852794,WAIT,0
LCID,Toxic,12.870100021362305,12.875,0.00038072576200356897,13.211400032043457,0.02546286019858145,WAIT,0
EOSE,Standard,15.104999542236328,15.109999656677246,0.0003310238061866032,16.6446,0.09219809087167936,WAIT,0
OSCR,Standard,16.309999465942383,16.315000534057617,0.0003066258908025915,16.649799346923828,0.02010827913839499,WAIT,0
ORCL,Standard,189.92999267578125,189.97610473632812,0.00024278451179424984,199.2,0.04630469509875434,WAIT,0
CCJ,Standard,90.94999694824219,90.97000122070312,0.00021994802784129316,96.58,0.05808654772516953,WAIT,0
VST,Standard,171.0749969482422,171.110107421875,0.00020523439578628186,180.0,0.049388292100694446,WAIT,0
DDOG,Standard,146.0500030517578,146.0749969482422,0.0001711324612264305,151.0,0.03261591425005174,WAIT,0
SOFI,Standard,26.975000381469727,26.978900909423828,0.00014459788318598138,27.299999237060547,0.011761843831878881,WAIT,0
BE,Standard,98.72740173339844,98.74120330810547,0.000139794772927386,109.27,0.09635578559434911,WAIT,0
CELH,Standard,43.459999084472656,43.46500015258789,0.00011507289969136588,44.9988,0.03408534999626906,WAIT,0
IONQ,Standard,51.040000915527344,51.04499816894531,9.790856834503877e-05,53.0,0.03688682700103184,WAIT,0
OKLO,Standard,92.83000183105469,92.83879852294922,9.476130260711109e-05,103.6,0.10387260112983375,WAIT,0
BRK-B,Standard,495.9808044433594,496.027587890625,9.432511671118037e-05,498.8734,0.00570447754756017,WAIT,0
GLW,Standard,88.83000183105469,88.83499908447266,5.6256369638188234e-05,96.9657,0.08385130943753659,WAIT,0
UBER,Standard,85.45999908447266,85.46399688720703,4.677981251115373e-05,86.44999694824219,0.011405437777232968,WAIT,0
