Pool,Type,Total_Trades,Avg_Win_Rate,Avg_Return_Per_Trade
Final,Holiday,1389.0,0.5190784737221023,-0.0010946158913467386
Final,Normal,26315.0,0.51795553866616,0.001349359468987417
Final,TOTM,5798.0,0.4860296654018627,0.00031089794388469835
Toxic,Holiday,462.0,0.5454545454545454,0.000583326768361523
Toxic,Normal,8448.0,0.5474668560606061,0.0014210028330497691
Toxic,TOTM,1804.0,0.5515521064301552,0.0034433147030946886
