Date,Ticker,ETH_Weekend_Ret,Stock_Gap,Strategy_Ret
2023-12-18,PSNY,-0.03479652619787527,0.014198824815269602,0.04
2023-12-18,BZFD,-0.03479652619787527,0.007352934086817846,0.11065693628820386
2023-12-18,OPEN,-0.03479652619787527,0.016069235103701764,0.01581509856664611
2023-12-18,DNA,-0.03479652619787527,0.00625002384185791,0.012422348107229005
2024-01-08,LCID,0.0068091376055213265,0.01055402889386466,0.006527415273629834
2024-01-08,BZFD,0.0068091376055213265,0.0058026330033787875,-0.0380769385952927
2024-01-08,BIRD,0.0068091376055213265,0.009090943769975142,-0.009008957149438354
2024-01-08,OPEN,0.0068091376055213265,0.01652890933552547,-0.07046070092993582
2024-01-08,PTON,0.0068091376055213265,0.010416692536738992,0.02798233553577325
2024-01-08,UPST,0.0068091376055213265,0.02761730509095654,-0.039873513496007235
2024-01-08,AFRM,0.0068091376055213265,0.012591183618768714,-0.04038545772338737
2024-01-08,MARA,0.0068091376055213265,0.02702524017027283,-0.04844565334736214
2024-01-08,RIOT,0.0068091376055213265,0.018230891049248424,-0.06067639035028306
2024-01-22,LCID,-0.04746117869810495,0.007352898896360429,-0.034671561173927154
2024-01-22,OPEN,-0.04746117869810495,0.056961969446056325,-0.04784432836806404
2024-01-22,PTON,-0.04746117869810495,0.014388475634778753,-0.037234050198272105
2024-01-22,UPST,-0.04746117869810495,0.054756836669452906,-0.04495357475750175
2024-01-22,AFRM,-0.04746117869810495,0.07871028143204711,0.025494502140925482
2024-01-22,AMC,-0.04746117869810495,0.019955581193628016,0.026086932184114293
2024-01-22,BB,-0.04746117869810495,0.01749269434745705,-0.02865326772473052
2024-01-29,LCID,-0.0068282422479577195,0.0339511927580274,-0.23090903542258523
2024-01-29,BZFD,-0.0068282422479577195,0.014713365842712836,0.07100000871717917
2024-01-29,OPEN,-0.0068282422479577195,0.011940358629948591,-0.09734510722541195
2024-01-29,MARA,-0.0068282422479577195,0.005880680197607947,-0.030623673298774495
