Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
NVO,Asset,0.005,930,0.4935483870967742,-0.00015221776043693405
NVTS,Asset,0.005,437,0.540045766590389,-0.0013177711901248682
OKLO,Asset,0.005,262,0.5992366412213741,-0.001911972917481701
ON,Asset,0.005,985,0.46598984771573604,-0.0016715534737186133
ONDS,Asset,0.005,552,0.5760869565217391,0.006211221325515221
OPEN,Toxic,0.005,611,0.55810147299509,0.0037762746651314794
ORCL,Asset,0.005,610,0.4819672131147541,2.815373473325609e-05
OSCR,Asset,0.005,409,0.508557457212714,-0.00011141089587988757
PANW,Asset,0.005,771,0.48378728923476005,-3.383375620005141e-05
PLTR,Asset,0.005,497,0.5231388329979879,-0.0002047178572426895
POWI,Asset,0.005,818,0.4963325183374083,-0.0008875827866008046
PSNY,Toxic,0.005,401,0.5486284289276808,0.0030793076763102733
PTON,Toxic,0.005,540,0.4925925925925926,-0.0007786392099420589
QBTS,Asset,0.005,492,0.6056910569105691,0.005364893340057607
QCOM,Asset,0.005,809,0.48084054388133496,-0.00036100098089507344
REAL,Toxic,0.005,632,0.5253164556962026,0.0009175203613172753
REMX,Asset,0.005,979,0.41062308478038817,-0.0022108723559414478
RENT,Toxic,0.005,397,0.5894206549118388,0.009762087815450944
RIOT,Toxic,0.005,1069,0.5706267539756782,0.0028411571447382322
RXRX,Asset,0.005,479,0.4968684759916493,0.0008777358478417027
SHOP,Asset,0.005,980,0.4969387755102041,-0.00042754932351868075
SIVR,Asset,0.005,889,0.5050618672665916,7.745434780378685e-05
SMR,Asset,0.005,446,0.5807174887892377,0.005359294422906459
SOFI,Asset,0.005,505,0.5069306930693069,0.0016748434740914767
SOUN,Asset,0.005,420,0.569047619047619,0.0036624163715196388
SPOT,Asset,0.005,619,0.4894991922455573,0.00029780385752338435
STX,Asset,0.005,822,0.4781021897810219,-0.000850693602376529
TMDX,Asset,0.005,578,0.532871972318339,0.0018252605845485688
TSLA,Asset,0.005,1036,0.5125482625482626,-0.0003855842912209506
TSM,Asset,0.005,966,0.4855072463768116,0.00011857695529768003
TTD,Asset,0.005,847,0.5206611570247934,-0.0006323023044686566
U,Asset,0.005,502,0.5318725099601593,0.0011440399122278257
UAMY,Asset,0.005,925,0.5772972972972973,0.01780699619413207
UBER,Asset,0.005,553,0.515370705244123,1.509165966032855e-05
UNH,Asset,0.005,562,0.5088967971530249,-8.124955974549162e-05
UPST,Toxic,0.005,518,0.5154440154440154,-0.0009366125186801858
UUUU,Asset,0.005,1215,0.562962962962963,0.005218623904973676
V,Asset,0.005,597,0.4656616415410385,-0.00040348632549659343
VOO,Asset,0.005,435,0.367816091954023,-0.0008137650870649681
VST,Asset,0.005,521,0.4798464491362764,-0.0008017971012027574
WWR,Asset,0.005,1101,0.6430517711171662,0.013447946559927142
ABAT,Asset,0.01,905,0.6298342541436464,0.0148992730882154
ABNB,Asset,0.01,211,0.47393364928909953,0.000699461472905205
ACHR,Asset,0.01,376,0.5398936170212766,0.0024036502197784635
ADBE,Asset,0.01,316,0.4778481012658228,0.0004469651406802673
AFRM,Toxic,0.01,365,0.5123287671232877,-0.002896736947979139
AMC,Toxic,0.01,515,0.5553398058252427,0.0017510438225863695
AMD,Asset,0.01,708,0.4858757062146893,-0.0015441168869984273
AMZN,Asset,0.01,376,0.5026595744680851,0.0006675719430231484
ANET,Asset,0.01,426,0.4507042253521127,-0.001818120741246247
APP,Asset,0.01,291,0.4948453608247423,-0.001083108861603135
BB,Toxic,0.01,395,0.47341772151898737,-0.001096203030716433
BBBY,Toxic,0.01,611,0.5351882160392799,0.0014876464459087327
BE,Asset,0.01,578,0.532871972318339,-0.0005908061527902344
BIRD,Toxic,0.01,321,0.6448598130841121,0.009431922910843077
BND,Asset,0.01,7,0.5714285714285714,-0.000452169732540028
BRK-B,Asset,0.01,131,0.5038167938931297,0.00012352972017219699
BROS,Asset,0.01,205,0.526829268292683,0.001782132693760198
BYND,Toxic,0.01,352,0.5539772727272727,0.005133628034303634
BZFD,Toxic,0.01,243,0.6049382716049383,0.009539470414292421
CCJ,Asset,0.01,483,0.5134575569358178,-0.0004907499457698973
CEG,Asset,0.01,163,0.5521472392638037,-0.0004064548615034036
CELH,Asset,0.01,607,0.5453047775947282,0.0024436038933227716
CIFR,Asset,0.01,434,0.5391705069124424,0.002347698988809036
CLOV,Toxic,0.01,328,0.5365853658536586,0.004805480514911064
CRWD,Asset,0.01,389,0.493573264781491,0.0017045983518831412
CVNA,Toxic,0.01,523,0.5219885277246654,-0.0031242661752407196
DDOG,Asset,0.01,364,0.5439560439560439,0.0005528687278439224
DNA,Toxic,0.01,355,0.543661971830986,0.004546001783032279
DOCN,Asset,0.01,299,0.4983277591973244,0.001159389270916194
DUOL,Asset,0.01,213,0.5305164319248826,-0.00047309936592727133
EOSE,Asset,0.01,413,0.5544794188861986,0.0004559827386249217
FI,Asset,0.01,186,0.43548387096774194,-0.0016563950689820989
