Threshold,Avg Daily Ret,Lift (vs Hold),Fill Rate,Win Rate
 0.5%,0.00870787504798461,0.008306366751874355,0.7957181088314005,0.47814451382694023
 1.0%,0.0075441327039879455,0.007142624407877691,0.6520963425512935,0.39785905441570024
 1.5%,0.006885995354573713,0.006484487058463459,0.5477252453166815,0.33363068688670827
 2.0%,0.006287960234685992,0.005886451938575738,0.4451382694023194,0.2729705619982159
 3.0%,0.004691530277233736,0.004290021981123482,0.29348795718108833,0.17662801070472792
