Metric,Baseline,EXP-04,Diff
Win Rate,0.48604427333974976,0.46860215053763443,-0.017442122802115323
Avg Return,-0.0003220722090285615,-0.0008899559046885764,-0.000567883695660015
Total Return,-1.3385321007227016,-4.1382949568018805,-2.799762856079179
