Strategy,Count,Win_Rate,Avg_Ret,Total_Ret,Stop_Out_Rate
No_SL,2914,0.5411805078929307,0.002060200380197402,6.00342390789523,0.0
SL_0.2%,2914,0.12251201098146877,0.00233083013961678,6.792039026843296,0.8768016472203157
SL_0.5%,2914,0.20624571036376116,0.0028941442866094397,8.433536451179908,0.7800274536719286
SL_1.0%,2914,0.29993136582017843,0.003056149788263482,8.905620482999787,0.6496225120109814
