Ticker,Category,Prev Close,Trigger Price,Curr Price,Gap %,Dist to Trigger,Status
ABAT,Standard,4.27,4.29,4.25,-0.59,-0.05,⚪ WAITING
DDOG,Standard,149.9,150.65,149.00,-0.6,-1.65,⚪ WAITING
MRVL,Standard,89.43,89.88,88.88,-0.62,-1.0,⚪ WAITING
BBBY,Toxic (Priority),6.39,6.42,6.35,-0.63,-0.07,⚪ WAITING
SMR,Standard,21.22,21.33,21.08,-0.66,-0.25,⚪ WAITING
MU,Standard,258.46,259.75,256.71,-0.68,-3.04,⚪ WAITING
CIFR,Standard,18.88,18.97,18.75,-0.69,-0.22,⚪ WAITING
TSM,Standard,304.85,306.37,302.66,-0.72,-3.72,⚪ WAITING
IONQ,Standard,52.55,52.81,52.16,-0.74,-0.65,⚪ WAITING
ORCL,Standard,198.85,199.84,197.35,-0.75,-2.49,⚪ WAITING
IREN,Standard,43.94,44.16,43.60,-0.76,-0.56,⚪ WAITING
PLTR,Standard,187.54,188.48,186.10,-0.77,-2.38,⚪ WAITING
BYND,Toxic (Priority),1.18,1.19,1.17,-0.85,-0.02,⚪ WAITING
LTBR,Standard,17.07,17.16,16.91,-0.91,-0.24,⚪ WAITING
LRCX,Standard,168.71,169.55,167.17,-0.91,-2.39,⚪ WAITING
POWI,Standard,37.35,37.54,36.93,-1.12,-0.61,⚪ WAITING
QBTS,Standard,27.98,28.12,27.66,-1.13,-0.46,⚪ WAITING
STX,Standard,307.85,309.39,303.92,-1.28,-5.47,⚪ WAITING
BE,Standard,108.99,109.53,107.20,-1.64,-2.33,⚪ WAITING
BIRD,Toxic (Priority),4.59,4.61,4.51,-1.74,-0.1,⚪ WAITING
