Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group B (Toxic),PTON,514,34.4,-0.7716879618658533,-0.7879523422490486,-0.01626438038319533,-0.9827977532795414,-0.9878118542959191,-0.00501410101637767,-0.2243888516973073,-0.23302514278386322,-0.22052885930908983,-0.23018499839089923,0.48058902275769744,0.5997322623828648
Group A (Final),MGK,372,24.9,1.9074586809224376,1.9608925647491922,0.053433883826754514,-0.36012620066713796,-0.3749579919152671,-0.014831791248129111,0.5477105953025072,0.5358687864877503,0.19724493575142832,0.20092828411151786,0.5622489959839357,0.6097724230254351
Group A (Final),MRVL,592,39.6,2.353581915363011,2.2245121146938094,-0.12906980066920148,-0.6187946355680385,-0.6252605976734664,-0.006465962105427936,0.3659087252867172,0.34918274664777166,0.22642235631495966,0.21833021286624832,0.5180722891566265,0.6184738955823293
Group A (Final),ANET,492,32.9,9.50332149967239,6.603316041267862,-2.900005458404528,-0.5041596124253696,-0.43238482441727527,0.07177478800809428,0.965699063576355,0.943605894796602,0.4868664656121975,0.40800086914073463,0.5414993306559571,0.6191432396251674
Group A (Final),V,330,22.1,0.8867686017133047,0.8703688194799566,-0.016399782233348148,-0.3636492968626921,-0.39867512375737246,-0.03502582689468037,0.3108206586666393,0.27940532409329044,0.11302971397452222,0.11139195216136133,0.536813922356091,0.5850066934404283
Group A (Final),FI,336,22.5,-0.4099722503220796,-0.47088990615566817,-0.060917655833588547,-0.748643752280011,-0.7012685908209734,0.04737516145903764,-0.11373314430051754,-0.14517681107893934,-0.08514560790774339,-0.10180793772521046,0.5327978580990629,0.5829986613119144
Group A (Final),APP,421,35.9,9.996625982021321,8.334176036270799,-1.662449945750522,-0.919024812239502,-0.8884092180744242,0.030615594165077864,0.7347467131178176,0.6947135038854119,0.6752504600666935,0.6171898807725822,0.5294619982920581,0.6319385140905209
Group B (Toxic),CVNA,582,38.9,3.8760188330763867,3.0413038366505987,-0.8347149964257881,-0.9899486626121002,-0.9889611566805043,0.0009875059315959112,0.30945948960083347,0.2685892943031829,0.30634900786296826,0.2656243791660762,0.5180722891566265,0.642570281124498
Group A (Final),POWI,531,35.5,-0.2047655855891145,-0.3662269649451422,-0.16146137935602767,-0.7067690887733327,-0.7075019374327897,-0.0007328486594569972,-0.0536373503600503,-0.10465287370415874,-0.03790922123818874,-0.07404211090360135,0.4892904953145917,0.5863453815261044
Group A (Final),MCD,219,14.6,0.7721536073664839,0.6738136254625289,-0.09833998190395499,-0.3655937214513587,-0.40413966749486757,-0.03854594604350886,0.27715465333693867,0.22460394352380111,0.10132600113101264,0.090771363053745,0.5194109772423026,0.5515394912985274
Group A (Final),TTD,556,37.2,0.36378706330710786,0.07318037986061254,-0.2906066834464953,-0.7346426642146436,-0.6810228007643792,0.05361986345026448,0.07313426841541287,0.01759728847205545,0.05372755379408778,0.011984154681097925,0.5261044176706827,0.6331994645247657
Group B (Toxic),BB,469,31.4,-0.33282209856472433,-0.5343755530659808,-0.2015534545012565,-0.9159362604371291,-0.9302385620521414,-0.014302301615012336,-0.07204065682418084,-0.1300368256421339,-0.06598464981097474,-0.12096526969916366,0.46586345381526106,0.5682730923694779
Group A (Final),PANW,449,30.0,3.851790433262474,3.6731761320085505,-0.17861430125392364,-0.46802023366115075,-0.5036954118986062,-0.035675178237455474,0.6522193542776281,0.5896814976889814,0.3052518545873404,0.2970198648674385,0.5394912985274432,0.6111111111111112
Group A (Final),MU,585,39.1,3.780481189755604,2.47461612537225,-1.305865064383354,-0.5762896784799832,-0.5114526508280478,0.06483702765193544,0.5240351694428408,0.45708782720284175,0.3019960593104183,0.23377878088412607,0.5227576974564926,0.607095046854083
Group A (Final),STX,475,31.8,5.2976753681166455,4.09635585639642,-1.201319511720225,-0.5699183573927386,-0.5738284503619655,-0.003910092969226953,0.6386169991485188,0.5509034061572217,0.36395955115780376,0.316124047854327,0.5247657295850067,0.6097724230254351
Group A (Final),LUMN,463,31.0,-0.15468479371706712,-0.5039167211396491,-0.349231927422582,-0.9286206671159924,-0.9426832392063401,-0.01406257209034767,-0.03009528634321305,-0.11830037793539418,-0.02794710488108132,-0.11151978347147162,0.4718875502008032,0.5749665327978581
Group A (Final),NVO,527,35.3,0.9184084070362535,0.27660926799933794,-0.6417991390369155,-0.6849509592607697,-0.6346452819978698,0.050305677262899806,0.16958332420611003,0.0662602902592936,0.11615626058960515,0.04205178059687009,0.5194109772423026,0.5595716198125836
Group A (Final),VOO,273,18.3,1.3167649696433408,1.0491354038054261,-0.26762956583791464,-0.3399300769166766,-0.37594514870674184,-0.036015071790065245,0.44788342555026234,0.3421682358266366,0.15224904729700528,0.1286364883005684,0.5555555555555556,0.5856760374832664
Group A (Final),BE,633,42.3,12.831217802146227,7.706653082337908,-5.124564719808319,-0.7988276760435764,-0.7518823976787672,0.04694527836480922,0.6979256829486238,0.5859328738205297,0.557522351360975,0.4405526140469904,0.4886211512717537,0.6311914323962516
Group A (Final),QCOM,514,34.4,1.3345586461588632,0.9358511638882294,-0.3987074822706338,-0.4428840244777014,-0.534351044819671,-0.09146702034196957,0.34712706098405915,0.22056962769923655,0.1537370297737366,0.11786161101657289,0.5187416331994645,0.607095046854083
Group A (Final),NET,566,37.9,11.210803791177215,6.566296319172657,-4.644507472004558,-0.8258227841077659,-0.8024817705020847,0.023341013605681193,0.6358844628269746,0.5069799760649945,0.5251278774626433,0.4068421888017413,0.5227576974564926,0.6392235609103079
Group A (Final),NVDA,603,40.3,29.301065239362572,16.37656478281763,-12.92450045654494,-0.6633509938629081,-0.6118570047709792,0.05149398909192893,1.1725412395121995,1.0110875778085053,0.7778063965756636,0.6186410169190564,0.5441767068273092,0.6412315930388219
Group A (Final),HOOD,388,35.3,2.5433658338531773,0.9753715340216471,-1.5679942998315302,-0.9021167789994491,-0.901630009158017,0.00048676984143203317,0.373443205393752,0.1875556647188187,0.33688938158904125,0.1691058156980665,0.5063752276867031,0.6111111111111112
Group A (Final),VST,414,27.7,7.748033212460255,5.183439019846407,-2.564594192613848,-0.48804276436341326,-0.5118777363162079,-0.02383497195279466,0.9050542407589279,0.702813282199927,0.44170517355881733,0.35975447194546284,0.5194109772423026,0.5990629183400268
Group A (Final),IBM,251,16.8,2.1069727504809284,0.9722353892113156,-1.1347373612696128,-0.38980096230800154,-0.39762060140095107,-0.007819639092949526,0.5405918304414864,0.30526114390048675,0.21072321572193542,0.1213781196220538,0.5394912985274432,0.5682730923694779
Group A (Final),LRCX,570,38.1,5.079873064001242,1.4016555226148921,-3.6782175413863496,-0.563931595963269,-0.5904752186899183,-0.02654362272664923,0.63108005379973,0.26972255186041,0.3558859819198674,0.15926448279537841,0.5200803212851406,0.6104417670682731
Group A (Final),ON,590,39.5,1.2334398409213336,-0.5029438539421289,-1.7363836948634626,-0.7044129721027712,-0.7083878863531526,-0.003974914250381434,0.2060609116074204,-0.15701302474093895,0.14515197917958944,-0.11122612472614901,0.5087014725568942,0.607095046854083
Group A (Final),REMX,561,37.5,1.0083996893741487,-0.6741841010664341,-1.682583790440583,-0.7334206295694415,-0.878154118537951,-0.14473348896850946,0.17018928114684886,-0.19625521866330234,0.12482032972469259,-0.1723423285537451,0.499330655957162,0.5589022757697456
Group A (Final),GLW,422,28.2,2.7875910503227495,0.9875894835566013,-1.8000015667661482,-0.4109864335625077,-0.5324977393299526,-0.1215113057674449,0.6128144642700679,0.23069753959584893,0.251858431105874,0.12284591830377178,0.5267737617135207,0.5769745649263721
