Group,Strategy,Total Return,Max Drawdown,Sharpe Ratio,Calmar Ratio,Profit Factor,Win Rate,Avg Avoidance %
Group A (Final),1. Benchmark (B&H),10.373113162740196,-0.5298704665713245,1.2295389638108747,0.9559716869067498,1.2499841560159268,0.5518394648829431,0.0
Group A (Final),2. Strategy A (Live),27.299506280917377,-0.3356552732976677,2.0306726104018606,2.2546006953761104,1.4395300100874384,0.6374581939799331,32.55262640173126
Group A (Final),3. Strategy B (Smart Filter),12.799104890632671,-0.5089730572904769,1.3669767698505868,1.0932815035750587,1.2813103784520714,0.5591973244147157,6.980129844579974
Group B (Toxic),1. Benchmark (B&H),6.324766689085283,-0.8565275408634285,0.7759163892836257,0.465659713852906,1.1589864949717894,0.5030100334448161,0.0
Group B (Toxic),2. Strategy A (Live),26.701807811785837,-0.6968065395172074,1.3473350523930498,1.0769972142231807,1.2871878356734079,0.579933110367893,34.35578913839784
Group B (Toxic),3. Strategy B (Smart Filter),6.402455842680184,-0.8580528374890842,0.7858028016171935,0.4677338047389256,1.1634521512720806,0.5123745819397993,5.85443541965281
All Combined,1. Benchmark (B&H),9.744290646328826,-0.6274980365797348,1.135414124130549,0.7836952590014177,1.2271337866795367,0.5421122994652406,0.0
All Combined,2. Strategy A (Live),27.479660234673766,-0.4100899731941401,1.9138534677170222,1.8483388415368278,1.4065353980963384,0.6229946524064172,32.86234556518533
All Combined,3. Strategy B (Smart Filter),11.611352626709191,-0.6141254678034573,1.2449262107870636,0.8672127102644935,1.2512637352076792,0.5494652406417112,6.692943635134303
