RSI_Period,Win_Rate,Avg_Return,Signal_Count
2,0.45006839945280436,0.0006613894029230598,731
3,0.45178335535006603,0.0003644299152048568,757
4,0.4533508541392904,0.0007024932032181892,761
5,0.4445893089960887,0.00045350471277415055,767
7,0.4497936726272352,0.0008829303612287583,727
10,0.44585091420534456,0.0005034350359379014,711
14,0.4419889502762431,-0.00021762344703464776,724
