Sector,Model,Win_Rate,Avg_Return,Count
Tech,Baseline,0.5291102160380813,0.0019712909231851218,2731
Tech,Test (+RelGap),0.5241702741702742,0.0016859724703990196,2772
Non-Tech,Baseline,0.5316992693848692,0.0019243568556367387,4243
Non-Tech,Test (+RelGap),0.5252525252525253,0.001889074965983883,4356
