Feature,Importance
SPY_Gap_Pct,2477
SPY_RSI_14,2307
SPY_Dist_MA20,2207
Vol_Ratio,1370
ATR_Pct,1294
Market_Corr,1269
Dist_MA20,1223
RSI_14,1149
Rel_Gap_SPY,856
Gap_Pct,848
