Ticker,Sector,Regime,Gap%,Price,Prob,Model,Size,Action,Vol_R
SIVR,Non-Tech,✅ PASS,0.06443263410824536,89.6500015258789,0.6520435542684474,Non-Tech,1.5x,SELL -> MOC,0.9253499901506896
GLD,Non-Tech,✅ PASS,0.03655437723214431,437.2300109863281,0.5140460472504409,Non-Tech,0.5x,SELL -> MOC,1.5682241423704049
UAMY,Non-Tech,✅ PASS,0.019300343564337644,9.270000457763672,0.5600722326774702,Non-Tech,1.0x,SELL -> MOC,1.0456814147872158
MU,Tech,✅ PASS,0.005320448451498966,365.0,0.5987992454484473,Tech,1.0x,SELL -> MOC,1.4752966144825572
CIFR,Non-Tech,✅ PASS,-0.05957441368810831,17.920000076293945,0.6803167519017077,Non-Tech,-,WATCH (Gap Down),1.8459924064177182
NVTS,Tech,✅ PASS,-0.056828587922129824,9.859999656677246,0.5538221890131063,Tech,-,WATCH (Gap Down),1.2312089148781695
OPEN,Non-Tech,✅ PASS,-0.054722675229432305,6.389999866485596,0.6607576350162485,Non-Tech,-,WATCH (Gap Down),1.086001223958489
EOSE,Non-Tech,✅ PASS,-0.05272206510430956,17.31999969482422,0.5878994808273137,Non-Tech,-,WATCH (Gap Down),1.1800758212156455
IREN,Non-Tech,✅ PASS,-0.04963678566296628,54.2599983215332,0.5912433885893955,Non-Tech,-,WATCH (Gap Down),1.6386027914232955
UPST,Non-Tech,✅ PASS,-0.049459628143112035,44.61000061035156,0.5846360425792623,Non-Tech,-,WATCH (Gap Down),0.5696441574358176
LTBR,Non-Tech,✅ PASS,-0.04775441417289058,17.170000076293945,0.7430852809090549,Non-Tech,-,WATCH (Gap Down),0.9247181266261926
ABAT,Non-Tech,✅ PASS,-0.0476190523201929,4.849999904632568,0.8088165300696915,Non-Tech,-,WATCH (Gap Down),0.7526820872594472
RXRX,Non-Tech,✅ PASS,-0.044967887519527856,4.400000095367432,0.7452478508631379,Non-Tech,-,WATCH (Gap Down),0.9642386239418974
QBTS,Tech,✅ PASS,-0.04370448256039623,27.040000915527344,0.5369609871414986,Tech,-,WATCH (Gap Down),1.0543397477994494
ACHR,Non-Tech,✅ PASS,-0.04232505807349385,8.649999618530273,0.7607717585416037,Non-Tech,-,WATCH (Gap Down),0.9556946800619134
SOUN,Tech,✅ PASS,-0.04099098270894015,10.449999809265137,0.5695567023968868,Tech,-,WATCH (Gap Down),0.9959823391336524
LUMN,Non-Tech,✅ PASS,-0.04023670535650096,8.010000228881836,0.7607831823577381,Non-Tech,-,WATCH (Gap Down),1.0425523206382104
SMR,Non-Tech,✅ PASS,-0.039871237438446915,19.0,0.6995489367525585,Non-Tech,-,WATCH (Gap Down),1.220859509381407
BE,Non-Tech,✅ PASS,-0.03678929765886288,151.75,0.6433092795142415,Non-Tech,-,WATCH (Gap Down),1.4415875417645547
NVO,Non-Tech,✅ PASS,-0.033852086449005954,60.68000030517578,0.5852985472906915,Non-Tech,-,WATCH (Gap Down),1.9901198260704
WWR,Non-Tech,✅ PASS,-0.03361351188145909,1.190000057220459,0.704919663038004,Non-Tech,-,WATCH (Gap Down),1.0765168150354463
VST,Non-Tech,✅ PASS,-0.03199280693749154,156.80999755859375,0.7380616757105136,Non-Tech,-,WATCH (Gap Down),2.300380244540294
FUBO,Non-Tech,✅ PASS,-0.02996260668114918,2.569999933242798,0.7231483422199155,Non-Tech,-,WATCH (Gap Down),1.0104482748704287
IONQ,Tech,✅ PASS,-0.02992126930298797,50.65999984741211,0.556578801874592,Tech,-,WATCH (Gap Down),1.31362776876601
GLW,Tech,✅ PASS,-0.029830123669087716,92.56999969482422,0.593504366477249,Tech,-,WATCH (Gap Down),1.3922174061267227
GOOG,Non-Tech,✅ PASS,-0.02754739421322636,322.1600036621094,0.40182038405284587,Non-Tech,-,WATCH (Gap Down),1.177667052156973
SOFI,Non-Tech,✅ PASS,-0.026406377683509317,25.489999771118164,0.5986253783151371,Non-Tech,-,WATCH (Gap Down),0.9169973274278708
U,Tech,✅ PASS,-0.026129418190208906,41.540000915527344,0.5857250425481725,Tech,-,WATCH (Gap Down),2.108605609132228
POWI,Tech,✅ PASS,-0.025854084482336243,42.900001525878906,0.5673916532634924,Tech,-,WATCH (Gap Down),0.9032129023820789
ANET,Tech,✅ PASS,-0.025725979513051535,127.5199966430664,0.5673916532634924,Tech,-,WATCH (Gap Down),0.9071232737650161
ONDS,Tech,✅ PASS,-0.025082262253538712,13.130000114440918,0.576170206309166,Tech,-,WATCH (Gap Down),1.734048928923184
LEU,Non-Tech,✅ PASS,-0.02425761655713447,315.9200134277344,0.6170081153352185,Non-Tech,-,WATCH (Gap Down),1.5055118404226522
NVDA,Tech,✅ PASS,-0.0232508292455187,178.07000732421875,0.590808541916315,Tech,-,WATCH (Gap Down),1.1874778572544056
LRCX,Tech,✅ PASS,-0.021304269182660415,222.41000366210938,0.5673916532634924,Tech,-,WATCH (Gap Down),1.1086666990191796
UBER,Tech,✅ PASS,-0.02109606302554368,83.72000122070312,0.590808541916315,Tech,-,WATCH (Gap Down),1.2604958253737775
PANW,Tech,✅ PASS,-0.018224438357697038,184.05999755859375,0.590808541916315,Tech,-,WATCH (Gap Down),1.2211923121207635
TMDX,Non-Tech,✅ PASS,-0.01687939074676859,141.92999267578125,0.4861205694593976,Non-Tech,-,WATCH (Gap Down),1.2230425273027223
ON,Tech,✅ PASS,-0.016409773718209907,60.060001373291016,0.5761526981268751,Tech,-,WATCH (Gap Down),0.6511081777422117
BROS,Non-Tech,✅ PASS,-0.01576835612024122,61.40999984741211,0.580937816960442,Non-Tech,-,WATCH (Gap Down),1.221939501625883
IBM,Tech,✅ PASS,-0.01413291174942181,291.3500061035156,0.593504366477249,Tech,-,WATCH (Gap Down),1.5271643408752202
REMX,Non-Tech,✅ PASS,-0.010989048593630884,89.51000213623047,0.3860665684284275,Non-Tech,-,WATCH (Gap Down),1.131009775711264
UNH,Non-Tech,✅ PASS,-0.010935880724224138,338.42999267578125,0.5559585653623538,Non-Tech,-,WATCH (Gap Down),1.2976985870612714
STX,Tech,✅ PASS,-0.00993170659608294,325.989990234375,0.5714440700234922,Tech,-,WATCH (Gap Down),0.8138757565720136
MP,Non-Tech,✅ PASS,-0.008698261442681052,68.37999725341797,0.6084011047659272,Non-Tech,-,WATCH (Gap Down),0.8590320545443803
NLR,Non-Tech,✅ PASS,-0.0070014361999429465,146.5800018310547,0.3963977287831062,Non-Tech,-,WATCH (Gap Down),1.4203830560603943
TSM,Tech,✅ PASS,-0.004702060105904198,327.1600036621094,0.593504366477249,Tech,-,FLAT,1.473435744873972
BND,Non-Tech,✅ PASS,-0.003908265472505286,73.93000030517578,0.6723754919566052,Non-Tech,-,FLAT,1.709478551245826
MCD,Non-Tech,✅ PASS,-0.0032202135704405836,302.8399963378906,0.6132282127836103,Non-Tech,-,FLAT,0.8541054328635742
GRAB,Tech,✅ PASS,0.00114157860965175,4.510000228881836,0.6651014547565686,Tech,-,FLAT,1.5183084128404154
SPOT,Non-Tech,✅ PASS,-0.00047569917616451933,511.3299865722656,0.47704255733407375,Non-Tech,-,FLAT,1.858505444986857
