Strategy,Total Return,CAGR,Sharpe,MaxDD,Final Equity
V5.1 Aggressive,690.66%,20.88%,0.83,-30.19%,"$790,664"
V5.2 Risk-Aware,481.60%,17.52%,0.87,-25.77%,"$581,600"
SPY (Buy & Hold),297.26%,13.48%,0.80,-33.72%,"$395,427"
