Period,V5.1 Return,SPY Return,Alpha,V5.1 Sharpe,V5.1 MaxDD,SPY MaxDD,Trades
2024 Full Year,18.22%,25.59%,-7.37%,0.70,-18.12%,-8.41%,227
2025 YTD,49.24%,17.91%,31.33%,1.25,-32.84%,-18.76%,197
