Strategy,Total Return,CAGR,Sharpe,MaxDD,Final Equity
V5.1 Aggressive,535.58%,18.48%,0.76,-30.71%,"$635,577"
V5.2 Risk-Aware,443.05%,16.78%,0.84,-25.90%,"$543,046"
SPY (Buy & Hold),297.26%,13.48%,0.80,-33.72%,"$395,427"
