Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOO (Benchmark),Total Return_MOC (Delayed),Total Return_MOO (Benchmark),Win Rate_MOC (Delayed),Win Rate_MOO (Benchmark),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),FI,-0.17990394629747009,-0.2097132701933241,-0.015255091507950569,0.3611758340145257,0.5537190082644629,0.555256064690027,-0.37643092552247626,-0.0015370564255641206,0.029809323895854
Group A (Final Pool),NVO,-0.4501420823728645,-0.40379884692662554,0.1938279745502589,0.6196988028343404,0.530562347188264,0.5647921760391198,-0.4258708282840815,-0.03422982885085579,-0.04634323544623897
Group A (Final Pool),VOO,-0.13696499167710444,-0.15924455309815758,0.16692481293576922,0.6014370350458891,0.5889212827988338,0.565597667638484,-0.43451222211011986,0.023323615160349864,0.02227956142105314
Group A (Final Pool),V,-0.19450094798491832,-0.18917517536175615,-0.04554749881842446,0.3912922519216264,0.5603448275862069,0.5485714285714286,-0.4368397507400509,0.011773399014778252,-0.005325772623162167
Group A (Final Pool),AMZN,-0.20974807454316494,-0.3433533345012566,0.7310316647295503,1.1860026471200151,0.579746835443038,0.5544303797468354,-0.45497098239046485,0.025316455696202556,0.13360525995809167
Group B (Toxic Pool),BB,-0.598283116884605,-0.6991011730781165,-0.5569340735409732,0.0036986954251496673,0.5097560975609756,0.49547511312217196,-0.5606327689661229,0.014280984438803657,0.10081805619351147
Group A (Final Pool),MCD,-0.18846428608802696,-0.17383475155014508,0.05428005191679808,0.6349261709322227,0.5644329896907216,0.538659793814433,-0.5806461190154246,0.02577319587628868,-0.014629534537881878
Group A (Final Pool),TSLA,-0.2382766248042375,-0.5775317281872152,2.748812760627804,3.3659471626274806,0.5805626598465473,0.5153846153846153,-0.6171344019996767,0.06517804446193198,0.3392551033829777
Group A (Final Pool),POWI,-0.3200241616917442,-0.3322474301535109,-0.10482217355392665,0.5458943874415305,0.5244444444444445,0.4911111111111111,-0.6507165609954572,0.03333333333333338,0.01222326846176669
Group A (Final Pool),AMD,-0.26871526414550817,-0.3885262670476146,0.08438528198391526,0.851609641523567,0.523696682464455,0.5211267605633803,-0.7672243595396517,0.0025699219010747454,0.11981100290210644
Group B (Toxic Pool),PTON,-0.4811064242258019,-0.7383532565063603,-0.04709913656646236,0.7225753869599341,0.4760820045558087,0.5077605321507761,-0.7696745235263964,-0.03167852759496742,0.2572468322805584
Group A (Final Pool),CELH,-0.20515455485164757,-0.5190108854028532,1.0413892146049961,1.8141476727053942,0.5710526315789474,0.5230769230769231,-0.7727584581003981,0.04797570850202426,0.31385633055120565
Group A (Final Pool),GOOG,-0.14836683813733698,-0.15009414145318872,0.08416491246067581,0.8942339032376732,0.5368731563421829,0.56047197640118,-0.8100689907769973,-0.02359882005899705,0.001727303315851747
Group A (Final Pool),LRCX,-0.32606254940398466,-0.3753276715857512,-0.029918577080572106,0.8198452446020175,0.5311653116531165,0.5257452574525745,-0.8497638216825896,0.005420054200542035,0.04926512218176654
Group A (Final Pool),LEU,-0.46207209016059303,-0.6362056676468953,1.9705659967999485,2.841487181314592,0.5728155339805825,0.505938242280285,-0.8709211845146436,0.06687729170029744,0.17413357748630232
Group A (Final Pool),QCOM,-0.258459453207228,-0.2593391564647691,0.017400022054310682,0.9417546167185884,0.5196850393700787,0.5538057742782152,-0.9243545946642777,-0.034120734908136496,0.000879703257541109
Group A (Final Pool),ORCL,-0.14702257297614116,-0.19901969530845004,0.2304473441942949,1.1659282500667878,0.547945205479452,0.5452054794520548,-0.9354809058724929,0.002739726027397249,0.05199712233230888
Group A (Final Pool),MGK,-0.17653021532628504,-0.1535508731029342,0.05432843234767781,1.325814936535611,0.5710059171597633,0.606508875739645,-1.2714865041879333,-0.035502958579881616,-0.02297934222335085
Group A (Final Pool),TSM,-0.2965245775336486,-0.2657984500896606,0.40282829812142884,1.96734918254286,0.542997542997543,0.5552825552825553,-1.5645208844214311,-0.012285012285012331,-0.030726127443988005
Group A (Final Pool),MSFT,-0.1402370718979751,-0.13256928815149016,0.5679282714430354,2.144061568348441,0.56951871657754,0.5935828877005348,-1.5761332969054056,-0.02406417112299475,-0.007667783746484941
Group A (Final Pool),CCJ,-0.23277893726105556,-0.2591257106912376,0.46077867079271284,2.1469747951985476,0.5491606714628298,0.5408653846153846,-1.6861961244058348,0.008295286847445182,0.02634677343018202
Group A (Final Pool),VST,-0.14687710727399078,-0.243377489001015,0.38645370084480457,2.3136129209815475,0.5139664804469274,0.5571030640668524,-1.927159220136743,-0.043136583619925006,0.09650038172702421
Group A (Final Pool),MRVL,-0.23472778017467152,-0.2351515643020166,0.8704969028479341,3.603029385928889,0.5380577427821522,0.5485564304461942,-2.7325324830809548,-0.010498687664041939,0.0004237841273450893
Group A (Final Pool),UUUU,-0.22452131080180654,-0.32040647471527417,3.6414570026175994,10.283729665023529,0.6010230179028133,0.5414634146341464,-6.642272662405929,0.05955960326866694,0.09588516391346763
Group A (Final Pool),NVDA,-0.2841978481244948,-0.2296102452028363,1.4451528791782864,9.259334897551474,0.6069364161849711,0.6011560693641619,-7.814182018373188,0.00578034682080919,-0.054587602921658485
Group A (Final Pool),LTBR,-0.2779170063976224,-0.41095993831715577,8.909367442917414,19.142748923625707,0.6204379562043796,0.5386313465783664,-10.233381480708292,0.08180660962601316,0.13304293191953337
