Group,Strategy,Win Rate,Avg Trade %,Total Return,Max Drawdown,Trades
Group A (Final Pool),1. Benchmark (MOO),0.5132076681413092,0.00177604206060787,890851234.4138498,-0.971012384043683,31194
Group A (Final Pool),2. Delayed (MOC),0.5406821552150272,0.0017009997519371524,6.900953992101444e+17,-0.8760412512667155,30345
Group A (Final Pool),3. Ideal (Night T),0.5400949617515167,0.0013942358681347444,42420258973722.23,-0.956162405246398,30328
Group A (Final Pool),4. Limit Buy (0.98),0.4885430177258971,-0.0011522050787686649,-0.9999999999999993,-0.9999999999999998,13878
Group B (Toxic Pool),1. Benchmark (MOO),0.4737903225806452,0.00035982582608336326,-0.9999999773158429,-0.999999996282144,8928
Group B (Toxic Pool),2. Delayed (MOC),0.5233798195242002,0.0016425596378415379,2433.6802071296147,-0.8446185154859961,8533
Group B (Toxic Pool),3. Ideal (Night T),0.5239324260910371,0.00032464597132657633,-0.8393504195542568,-0.9894545648951556,8524
Group B (Toxic Pool),4. Limit Buy (0.98),0.4680700513001946,-0.004127262978410375,-0.9999999999999996,-0.9999999999999998,5653
