Metric,Baseline,EXP-03,Diff
Win Rate,0.5795790858270305,0.5783870967741935,-0.001191989052837017
Avg Return,0.00966708001210576,0.009358901057570687,-0.0003081789545350735
Total Return,58.79518063362723,58.02518655693826,-0.7699940766889739
