Vol_Bin,Win_Rate,Avg_Return,Count
<0.8,0.39473684210526316,-0.0002574026349352385,380
0.8-1.2,0.3910690121786198,-0.0013651568083410668,739
1.2-2.0,0.48322147651006714,0.0008124353681404625,298
>2.0,0.5176470588235295,-0.0014036998270269844,85
