Gap_ATR_Bin,Win_Rate,Avg_Return,Count
<0.5x,0.3925581395348837,-0.0015707021153373035,1075
0.5-1.0x,0.45110410094637227,0.0006015334347894075,317
1.0-2.0x,0.4857142857142857,0.002460344866771376,70
>2.0x,0.7,0.0085430476563622,40
