Gap_Bin,Win_Rate,Strategy_Ret,Count
0.5-1.0%,0.4802855200543848,0.00044261980480479334,2942
1.0-2.0%,0.4835236541598695,0.0005978498359200475,3065
2.0-3.0%,0.505443234836703,0.0012521733134707351,1286
>3.0%,0.572897761645493,0.006788928088908854,1653
