Vol_Bin,Win_Rate,Strategy_Ret,Count
<1.0x,0.4899419729206963,0.0011893557301490484,5170
1.0-2.0x,0.5192307692307693,0.0025972090995896,3120
2.0-3.0x,0.5321100917431193,0.0039413671794773725,436
>3.0x,0.4841628959276018,-0.001244634137428745,221
