Feature,Importance
Gap_Pct,66
RSI_14,83
ATR_Pct,91
Vol_Ratio,48
Dist_MA20,46
QQQ_Gap_Pct,404
QQQ_RSI_14,310
QQQ_Dist_MA20,229
