Metric,Baseline,Model,Diff
Count,10422.0,7214.0,-3208.0
Win Rate,0.5225484551909423,0.5223177155530913,-0.00023073963785102958
Avg Return,0.0012360251570220058,0.0015946827851083176,0.00035865762808631177
Total Return,12.881854186483345,11.504041611771402,-1.3778125747119425
