Metric,Baseline,Model,Diff
Win Rate,0.4738256008131852,0.5759137014973434,0.10208810068415825
Avg Return,-0.0008598168636495789,0.00975144481272422,0.010611261676373798
Total Return,-11.84225766304565,60.56622373183012,72.40848139487576
Count,13773.0,6211.0,-7562.0
