Model,Win Rate,Avg Return,Total Return,Signals
Baseline (Base Only),0.5398089171974523,-0.001361396217243353,-0.8549568244288257,628
Crypto Model (Base + Crypto),0.5265888456549935,-0.0006088002414125225,-0.4693849861290549,771
