Model,Win_Rate,Avg_Ret,Trades
Global_Baseline,0.51548502687484,0.0010373644130805047,7814
Global_Optimized,0.5111909367228517,0.0011566070822768978,7238
Ensemble_Baseline,0.5169364712284042,0.0013206803546013494,7351
Ensemble_Optimized,0.5223061084420041,0.0013663632574670967,5828
