Metric,Baseline,Model,Diff
Win Rate,0.4742644320297952,0.48650836481381543,0.01224393278402025
Avg Return,-0.0008398052908638612,-0.00027165476390893147,0.0005681505269549297
Total Return,-11.274386029847337,-1.0067525550465,10.267633474800837
Count,13425.0,3706.0,-9719.0
