Date,Ticker,Open,High,Low,Close,Prob
2024-01-03,ABAT,4.489999771118164,4.514999866485596,4.199999809265137,4.230000019073486,0.8084208713904759
2024-01-05,ABAT,4.380000114440918,4.409999847412109,4.010000228881836,4.150000095367432,0.6018450126829773
2024-01-12,ABAT,3.6500000953674316,3.7100000381469727,3.4800000190734863,3.559999942779541,0.5422897317268303
2024-01-18,ABAT,2.880000114440918,3.369999885559082,2.5199999809265137,2.9700000286102295,0.5785799589947542
2024-01-24,ABAT,2.8299999237060547,3.130000114440918,2.680000066757202,2.7100000381469727,0.8032690680314652
2024-02-01,ABAT,2.799999952316284,2.799999952316284,2.509999990463257,2.5399999618530273,0.6950541061327117
2024-02-07,ABAT,2.740000009536743,2.75,2.4800000190734863,2.4800000190734863,0.7333257226621882
2024-02-08,ABAT,2.509999990463257,2.509999990463257,2.299999952316284,2.359999895095825,0.6832767852533376
2024-02-09,ABAT,2.4200000762939453,2.4700000286102295,2.325000047683716,2.369999885559082,0.7358719155612354
2024-03-04,ABAT,2.490000009536743,2.75,2.450000047683716,2.490000009536743,0.5077791067153185
2024-03-11,ABAT,2.0799999237060547,2.111999988555908,2.0,2.009999990463257,0.6085655254066543
2024-03-12,ABAT,2.049999952316284,2.059999942779541,1.8600000143051147,1.9600000381469727,0.6038145746434918
2024-03-21,ABAT,2.130000114440918,2.130000114440918,1.9500000476837158,1.9800000190734863,0.8478679581536772
2024-03-25,ABAT,1.9199999570846558,1.9199999570846558,1.7000000476837158,1.7200000286102295,0.5678418646138996
2024-03-26,ABAT,1.7699999809265137,1.7799999713897705,1.7000000476837158,1.7050000429153442,0.5179681613490634
2024-03-27,ABAT,1.7400000095367432,1.7400000095367432,1.590000033378601,1.600000023841858,0.5408448325816216
2024-04-01,ABAT,1.8250000476837158,1.850000023841858,1.7200000286102295,1.75,0.5075597199173169
2024-04-03,ABAT,1.7200000286102295,2.1050000190734863,1.7200000286102295,1.75,0.6053022227325763
2024-04-04,ABAT,1.7999999523162842,1.7999999523162842,1.6399999856948853,1.7200000286102295,0.7203071873150245
2024-04-05,ABAT,1.7999999523162842,1.7999999523162842,1.7200000286102295,1.7599999904632568,0.6389668729552562
2024-04-11,ABAT,1.8300000429153442,1.8300000429153442,1.7200000286102295,1.7699999809265137,0.5985952488379638
2024-04-15,ABAT,1.7599999904632568,1.7599999904632568,1.5499999523162842,1.6100000143051147,0.5602562482834972
2024-04-16,ABAT,1.6200000047683716,1.6200000047683716,1.4900000095367432,1.5,0.5807792387067082
2024-04-17,ABAT,1.5099999904632568,1.5800000429153442,1.3899999856948853,1.4299999475479126,0.6563915847210384
2024-04-18,ABAT,1.440000057220459,1.4500000476837158,1.2100000381469727,1.3600000143051147,0.7353040986201508
2024-04-19,ABAT,1.3799999952316284,1.3799999952316284,1.3300000429153442,1.340000033378601,0.6055412898104686
2024-04-23,ABAT,1.350000023841858,1.3600000143051147,1.2400000095367432,1.2799999713897705,0.5792031246186854
2024-04-24,ABAT,1.2899999618530273,1.3799999952316284,1.2879999876022339,1.3700000047683716,0.5649045994294067
2024-04-26,ABAT,1.399999976158142,1.399999976158142,1.2899999618530273,1.340000033378601,0.5097501366913827
2024-05-01,ABAT,1.309999942779541,1.3300000429153442,1.2799999713897705,1.309999942779541,0.5665997669995072
2024-05-15,ABAT,1.3300000429153442,1.3700000047683716,1.2999999523162842,1.309999942779541,0.5967259474341405
2024-05-16,ABAT,1.3700000047683716,1.3700000047683716,1.2799999713897705,1.3300000429153442,0.6278490934921048
