Ticker,Adj Close,Close,High,Low,Open,Volume,Prev_Close,Prev_Vol,RSI_14,ATR_14,ATR_Pct,Vol_MA20,Vol_Ratio,Dist_MA20,Gap_Pct,Probability,Sector,Date,QQQ_Gap_Pct,QQQ_RSI_14,QQQ_Dist_MA20,Sector_Corr,Ret_MOC,Ret_1H,Ret_2H,Ret_3H,Ret_4H,Ret_5H
ABAT,,2.5399999618530273,2.799999952316284,2.509999990463257,2.799999952316284,869700.0,2.700000047683716,571100.0,34.862400531409676,0.3640982329414517,0.13485119500416506,772195.0,0.739580028360712,-0.13063728821719722,0.037037001061669086,0.6228075870985827,Industrials,2024-02-01,,,,,0.09285714103251085,0.036892806408963995,0.07142858967489157,0.08224998341713605,0.08928571580624096,0.07857144012743132
ABAT,,2.4800000190734863,2.75,2.4800000190734863,2.740000009536743,729600.0,2.7200000286102295,495500.0,38.34901952058156,0.32403267958814236,0.11912966036022626,800770.0,0.6187794248036265,-0.058014603175950974,0.007352934086817846,0.5986861586730046,Industrials,2024-02-07,,,,,0.0948905071380695,0.036496315432303784,0.03284668388907341,0.06569345479222648,0.05839419170576572,0.0748174901432626
ABAT,,2.359999895095825,2.509999990463257,2.299999952316284,2.509999990463257,711500.0,2.4800000190734863,729600.0,34.33267343149519,0.3201732011123118,0.12910209622979224,820980.0,0.8886939998538332,-0.11189738791597703,0.01209676256413027,0.552523931819406,Industrials,2024-02-08,,,,,0.05976099439735334,0.02788841972460659,0.0517927794885551,0.06175297688394135,0.07968129420064377,0.05191236872848712
ABAT,,2.369999885559082,2.4700000286102295,2.325000047683716,2.4200000762939453,536400.0,2.359999895095825,711500.0,32.49987911674031,0.31230368947193043,0.1323320776924228,829270.0,0.8579835276809724,-0.12279108696238528,0.025423806722535417,0.5915353134326861,Industrials,2024-02-09,,,,,0.020661235189477743,-0.017727208957917743,0.014462844928620239,0.02479346252335911,0.03305791719112185,0.028925689857240477
ABAT,,2.1500000953674316,2.299999952316284,2.049999952316284,2.2100000381469727,737300.0,2.140000104904175,920000.0,29.15921949508927,0.2843863712876971,0.13289082119013793,842920.0,1.0914440279030038,-0.15447152395058883,0.03271024757540015,0.5676635141244993,Industrials,2024-02-14,,,,,0.027149294906731947,0.031674177391187275,0.058461529167114376,0.06334846266408269,0.06330315234666449,0.04751132002763498
ABAT,,2.490000009536743,2.75,2.450000047683716,2.490000009536743,1120300.0,2.440000057220459,559800.0,48.96534625036621,0.24286505750818804,0.09953485730031059,733750.0,0.7629301533219761,0.10421286395583973,0.020491783255629073,0.5175324673803924,Industrials,2024-03-04,,,,,0.0,-0.040160604116291965,-0.05220878535117955,-0.003975940980199098,-0.03212848329303357,-0.04216868219732307
ABAT,,2.0899999141693115,2.2300000190734863,2.053999900817871,2.109999895095825,395200.0,2.069999933242798,631600.0,39.861498522495914,0.26211323797239716,0.1266247567273003,781240.0,0.8084583482668578,-0.04069111145427706,0.019323653692280385,0.5437109859040041,Industrials,2024-03-06,,,,,0.009478664417471631,0.014170538897202153,-0.016587719227871788,-0.015734610051705195,-0.011848387019135972,0.01658760623327892
ABAT,,2.25,2.25,2.069999933242798,2.140000104904175,350600.0,2.0899999141693115,395200.0,40.502650944512446,0.2559623008497699,0.12247000543610277,776225.0,0.50913072884795,-0.019023559414138136,0.02392353721925213,0.5897171268975351,Industrials,2024-03-07,,,,,-0.05140181761848595,0.032476731071988924,-0.0023363905501129646,-0.011682175571655865,-0.0364485170197991,-0.01401867753231435
ABAT,,2.009999990463257,2.111999988555908,2.0,2.0799999237060547,436200.0,2.059999942779541,623900.0,41.08754218156968,0.24906954070654874,0.1209075473907447,752895.0,0.8286680081551876,-0.03592123992800644,0.009708728874782328,0.5105894971941705,Industrials,2024-03-11,,,,,0.033653815293452016,0.028846127394387442,0.028846127394387442,0.019230751596258297,0.026442226132694615,0.026442226132694615
ABAT,,1.9600000381469727,2.059999942779541,1.8600000143051147,2.049999952316284,996900.0,2.009999990463257,436200.0,39.9868133508325,0.2392788584100744,0.11904420872903902,747885.0,0.5832447501955514,-0.04205609864934112,0.019900478628265224,0.5555202032907295,Industrials,2024-03-12,,,,,0.04390239817694683,0.02195114093759911,0.034195098276722104,0.06097561117441157,0.08297559884642622,0.06097561117441157
