Feature,Importance
SPY_Gap_Pct,433
SPY_RSI_14,351
SPY_Dist_MA20,346
Vol_Ratio,157
Gap_Pct,154
ATR_Pct,145
Market_Corr,135
Dist_MA20,132
RSI_14,100
