Date,Ticker,Sector,Entry,High,Low,Close,ATR,Gap_Pct,Prob
2024-01-03,ABAT,Industrials,4.489999771118164,4.514999866485596,4.199999809265137,4.230000019073486,0.44684612072828833,0.019296153748313345,0.8287388967891663
2024-01-05,ABAT,Industrials,4.380000114440918,4.409999847412109,4.010000228881836,4.150000095367432,0.42189791943688676,0.030588262221392465,0.606165343521994
2024-01-12,ABAT,Industrials,3.6500000953674316,3.7100000381469727,3.4800000190734863,3.559999942779541,0.3730201696859631,0.008287351037779467,0.5353520844871912
2024-01-18,ABAT,Industrials,2.880000114440918,3.369999885559082,2.5199999809265137,2.9700000286102295,0.40323444232809885,0.07063199002931751,0.5722847047090899
2024-01-24,ABAT,Industrials,2.8299999237060547,3.130000114440918,2.680000066757202,2.7100000381469727,0.4236393426055322,0.00711743107963571,0.8139759354415586
2024-02-01,ABAT,Industrials,2.799999952316284,2.799999952316284,2.509999990463257,2.5399999618530273,0.3630345662511027,0.037037001061669086,0.7261724819282379
2024-02-07,ABAT,Industrials,2.740000009536743,2.75,2.4800000190734863,2.4800000190734863,0.3232418792876671,0.007352934086817846,0.7301939632712564
2024-02-08,ABAT,Industrials,2.509999990463257,2.509999990463257,2.299999952316284,2.359999895095825,0.3194388865475848,0.01209676256413027,0.644876018973629
2024-02-09,ABAT,Industrials,2.4200000762939453,2.4700000286102295,2.325000047683716,2.369999885559082,0.31162182594754106,0.025423806722535417,0.7419020300453192
2024-03-04,ABAT,Industrials,2.490000009536743,2.75,2.450000047683716,2.490000009536743,0.24264070692213463,0.020491783255629073,0.50724975869908
2024-03-11,ABAT,Industrials,2.0799999237060547,2.111999988555908,2.0,2.009999990463257,0.24891465769250043,0.009708728874782328,0.6085655254066543
2024-03-12,ABAT,Industrials,2.049999952316284,2.059999942779541,1.8600000143051147,1.9600000381469727,0.23913503846845813,0.019900478628265224,0.6038145746434918
2024-03-21,ABAT,Industrials,2.130000114440918,2.130000114440918,1.9500000476837158,1.9800000190734863,0.2295885778861646,0.03902447023681246,0.8478679581536772
